Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
7224|M12580.1 Drosophila hydei Y chromosome lampbrush loop transcribed repeats,1186,0,861,30.43,33.57,90.66,297.92,2.19,1184.95,1e-26,7214,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,,
"77133|AY704397.1 Uncultured bacterium clone FS266-36B-03 16S ribosomal RNA gene, partial sequence",1368,0,1475,70.17,70.71,99.23,141.42,4.45,1366.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"114053|AY934422.1 Uncultured Pseudoalteromonas sp. clone I50-521ITS 16S-23S ribosomal RNA intergenic spacer, partial sequence; and tRNA-Ile and tRNA-Ala genes, complete sequence",342,0,590,67.46,70.17,96.14,142.51,2.7,341.28,1e-26,267888,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,,
"77133|DQ270612.1 Uncultured bacterium clone LC1133B-5 16S ribosomal RNA gene, partial sequence",838,0,1503,38.52,39.39,97.8,253.89,2.99,836.16,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"81726|AM160665.1 Unidentified microorganism metagenome environmental cosmid clone 10A01, sub clone 10A01-P1",882,0,850,66.71,69.06,96.59,144.8,5.48,880.96,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"81726|AM160726.1 Unidentified microorganism metagenome environmental cosmid clone 10A06, sub clone 10A06-P2",360,0,599,91.32,93.16,98.03,107.35,3.73,359.27,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"343236|AM083967.1 Methanotrophic endosymbiont of Bathymodiolus azoricus (Menez Gwen) associated sequence partial 16S rRNA gene, clone aMG-5-160",1136,0,1466,53.41,54.09,98.74,184.87,4.03,1134.21,1e-26,343236,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,methanotrophic endosymbiont of Bathymodiolus azoricus (Menez Gwen) associated sequence
"86473|DQ234241.2 Uncultured gamma proteobacterium clone DS159 16S ribosomal RNA gene gene, partial sequence",1912,0,1543,76.41,77.77,98.25,128.58,6.02,1910.11,1e-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
"115547|AY835407.2 Uncultured archaeon clone 4A10 16S ribosomal RNA gene, complete sequence",1420,0,1461,84.26,84.74,99.43,118.01,4.3,1418.21,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"34036|AB015257.1 Unidentified epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone:JTB146",958,0,1481,47.54,47.94,99.15,208.59,3.85,956.19,1e-26,34036,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,unidentified epsilon proteobacterium
"2746|AJ238780.1 Halomonas elongata betI, betB and betA genes and partial ORF1",3054,1,4597,59.47,61.26,97.09,163.25,3.99,3048.38,1e-26,2745,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,
29570|AJ239061.1 Halomonas meridiana amyH gene for alpha-amylase,824,0,1600,81.5,83.44,97.68,119.85,2.68,822.04,1e-26,2745,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,
"126107|AF259612.1 Uncultured bacterium CtaxMed-34 16S ribosomal RNA gene, partial sequence",730,0,888,55.97,56.98,98.22,175.49,4.05,728.91,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"179113|AF408819.1 Uncultured Alteromonas sp. clone Med-DA4 16S ribosomal RNA gene, partial sequence; internal transcribed spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",882,0,798,63.78,63.91,99.8,156.47,4.59,881.02,1e-26,179113,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,uncultured Alteromonas sp.
"112738|AJ248409.2 Uncultured bacterium pA25 partial nirS gene for nitrite reductase, clone pA25",516,0,832,81.49,85.7,95.09,116.69,4.69,514.98,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112745|AJ248416.2 Uncultured bacterium pA94 partial nirS gene for nitrite reductase, clone pA94",816,0,831,95.55,100.0,95.55,100.0,6.45,814.98,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112749|AJ248420.2 Uncultured bacterium pB16 partial nirS gene for nitrite reductase, clone pB16",2626,0,791,94.94,100.0,94.94,100.0,26.25,2625.03,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112752|AJ248423.2 Uncultured bacterium pB49 partial nirS gene for nitrite reductase, clone pB49",442,0,831,72.32,76.17,94.94,131.28,2.99,440.98,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112755|AJ248426.2 Uncultured bacterium pC56 partial nirS gene for nitrite reductase, clone pC56",840,0,831,88.93,93.5,95.11,106.95,7.24,838.98,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"214802|AF550592.1 Fusobacteria bacterium Ko711 16S ribosomal RNA gene, partial sequence",1144,0,1471,55.68,55.88,99.64,178.95,4.08,1142.2,1e-26,214802,Bacteria,unk_k,Fusobacteria,unk_c,unk_o,unk_f,unk_g,Fusobacteria bacterium Ko711
"203449|AY157468.1 Uncultured marine eukaryote clone T5SY4 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid gene for plastid product",312,0,586,51.02,51.19,99.67,195.33,2.05,311.28,1e-26,203449,Eukaryota,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured marine eukaryote
"77133|AY354126.1 Uncultured bacterium clone pIR3BF09 16S ribosomal RNA gene, partial sequence",484,0,916,56.11,56.66,99.04,176.49,2.29,482.88,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"152509|AY499781.1 Uncultured Bacteroidetes bacterium clone Dover298 16S ribosomal RNA gene, partial sequence",504,0,984,73.07,74.9,97.56,133.51,2.31,502.8,1e-26,976,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,
"152507|AY499890.1 Uncultured actinobacterium clone Dover302 16S ribosomal RNA gene, partial sequence",1332,0,1001,75.82,75.92,99.87,131.71,5.39,1330.77,1e-26,152507,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
"152509|AY500026.1 Uncultured Bacteroidetes bacterium clone Nubeena49 16S ribosomal RNA gene, partial sequence",5292,0,983,99.39,99.8,99.59,100.2,22.88,5290.8,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"152509|AY500051.1 Uncultured Bacteroidetes bacterium clone Nubeena313 16S ribosomal RNA gene, partial sequence",524,0,981,54.64,54.84,99.63,182.34,2.62,522.8,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"265883|NR_028660.1 Thiomicrospira thermophila strain I78 16S ribosomal RNA gene, partial sequenceAB166731.1 Thiomicrospira thermophila gene for 16S rRNA, partial sequence",1240,0,1478,87.96,88.02,99.92,113.6,4.36,1238.19,1e-26,265883,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio thermophilus
"34034|AY665429.1 Uncultured delta proteobacterium clone Sorfjord-S1-4 16S ribosomal RNA gene, partial sequence",336,0,606,68.81,69.14,99.52,144.63,2.47,335.26,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"297483|AY775772.1 Styloplanella strongylostomoides 18S ribosomal RNA gene, partial sequence",1648,0,1816,69.49,73.95,93.97,135.22,6.86,1645.78,1e-26,27902,Eukaryota,Metazoa,Platyhelminthes,Rhabditophora,Rhabdocoela,Typhloplanidae,,
"34034|AJ704692.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone HMMVBeg-49",792,0,1518,51.38,52.04,98.73,192.15,2.37,790.14,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"152509|AJ704703.1 Uncultured Bacteroidetes bacterium partial 16S rRNA gene, clone HMMVCen-36",22552,0,1485,98.52,100.0,98.52,100.0,68.4,22550.18,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"152509|AJ704707.1 Uncultured Bacteroidetes bacterium partial 16S rRNA gene, clone HMMVBeg-23",1274,0,1497,77.56,77.96,99.49,128.28,3.8,1272.17,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"77133|AY822174.1 Uncultured bacterium clone C16T9 H04 16S ribosomal RNA gene, partial sequence",402,0,740,60.68,61.62,98.46,162.28,3.24,401.09,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY822175.1 Uncultured bacterium clone C5T9 B11 16S ribosomal RNA gene, partial sequence",368,0,644,45.34,47.36,95.74,211.15,3.68,367.21,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
280772|AJ745717.1 Methanotrophic bacterial endosymbiont of Bathymodiolus sp. 16S rRNA gene,4692,0,1502,57.39,57.46,99.88,174.04,14.17,4690.16,1e-26,280772,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,methanotrophic bacterial endosymbiont of Bathymodiolus sp.
"77133|AY897319.1 Uncultured bacterium clone DOVER380 16S ribosomal RNA gene, partial sequence",538,0,933,47.59,47.7,99.78,209.66,2.24,536.86,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"86473|AB015252.1 Uncultured gamma proteobacterium gene for 16S ribosomal RNA, partial sequence, clone:JTB148",1804,0,1518,59.42,59.82,99.34,167.18,5.49,1802.14,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"160238|AB015264.1 Uncultured Cytophaga sp. gene for 16S ribosomal RNA, partial sequence, clone:JTB250",1662,0,1483,59.81,61.02,98.01,163.87,5.44,1660.19,1e-26,978,Bacteria,unk_k,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,
"77133|AB015540.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: BD2-11",1206,0,1524,69.29,70.08,98.88,142.7,3.87,1204.14,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB015559.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: BD4-9",1246,0,1530,67.12,70.72,94.92,141.4,4.59,1244.13,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"120858|AB013262.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB10",3740,0,1467,74.85,74.91,99.91,133.48,10.96,3738.2,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"120858|AB013263.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB11",7230,0,1475,82.44,82.64,99.75,121.0,24.24,7228.19,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"120858|AB013264.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB12",3182,0,1473,75.15,75.83,99.1,131.87,11.41,3180.2,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"120179|AB040520.1 Uncultured deep-sea autotrophic bacterium ORII-2 cbbM gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form II large subunit, partial cds",168,0,327,70.34,72.48,97.05,137.97,3.45,167.6,1e-26,1224,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,unk_g,
"77133|AB062161.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone:pBSB4.23",1164,0,916,69.98,70.41,99.38,142.02,5.9,1162.88,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB069789.1 Uncultured bacterium 16S rRNA, partial sequence, clone:CS2.28",2788,0,874,72.08,72.54,99.37,137.85,14.76,2786.93,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB069791.1 Uncultured bacterium 16S rRNA, partial sequence, clone:CS5.5",652,0,913,54.44,54.65,99.6,182.97,3.27,650.88,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB069795.1 Uncultured bacterium 16S rRNA, partial sequence, clone:CS5.15",3078,0,900,96.33,96.89,99.43,103.21,17.35,3076.9,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"100272|AY180002.1 Uncultured eukaryote clone CCA33 18S small subunit ribosomal RNA gene, partial sequence",2720,0,1827,91.68,92.34,99.29,108.3,7.82,2717.76,1e-26,100272,Eukaryota,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured eukaryote
6687|AY188969.1 Penaeus monodon clone t419 microsatellite sequence,614,0,602,50.17,51.33,97.73,194.82,2.18,613.26,1e-26,133894,Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus,
"153939|AY197450.1 Uncultured sulfate-reducing bacterium clone B04P004 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1582,0,1791,73.09,74.09,98.64,134.97,5.36,1579.81,1e-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"152509|AB116467.1 Uncultured Bacteroidetes bacterium gene for 16S rRNA, partial sequence, clone: Y93",696,0,1153,66.78,67.91,98.34,147.25,3.08,694.59,1e-26,976,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,
"152509|AB116512.1 Uncultured Bacteroidetes bacterium gene for 16S rRNA, partial sequence, clone: Y224",2026,0,982,78.72,78.92,99.74,126.71,9.1,2024.8,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"34034|AB121098.1 Uncultured delta proteobacterium gene for 16S rRNA, clone:JS624-10",4144,0,1519,91.57,92.1,99.43,108.58,12.24,4142.14,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AB121099.1 Uncultured delta proteobacterium gene for 16S rRNA, clone:JS624-15",1176,0,1521,42.54,42.6,99.85,234.72,3.16,1174.14,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"249061|AB121103.1 Uncultured Actinomyces sp. gene for 16S rRNA, clone:JS624-11",1080,0,1481,64.42,64.69,99.58,154.59,3.64,1078.19,1e-26,249061,Bacteria,unk_k,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,uncultured Actinomyces sp.
"160238|AB121105.1 Uncultured Cytophaga sp. gene for 16S rRNA, clone:JS624-12",1378,0,1497,36.01,36.14,99.63,276.71,3.81,1376.17,1e-26,160238,Bacteria,unk_k,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,uncultured Cytophaga sp.
"198431|AB174750.1 Uncultured prokaryote cbbM gene for ribulose,1-5,bisphosphate carboxylase oxygenase form II large subunit, partial cds, clone:Suiyo (II)-4",344,0,630,53.17,56.67,93.84,176.47,4.21,343.23,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"198431|AB175487.1 Uncultured prokaryote cbbL gene for ribulose,1-5,bisphosphate carboxylase oxygenase form I large subunit cbbL, partial cds, clone:Suiyo (I)-1",8994,0,812,92.73,100.0,92.73,100.0,83.33,8993.01,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"198431|AB175812.1 Uncultured prokaryote cbbL gene for ribulose,1-5,bisphosphate carboxylase oxygenase form I large subunit cbbL, partial cds, clone:Suiyo (I)-8",718,0,812,69.7,74.75,93.25,133.77,7.38,717.01,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"49186|AJ717490.1 Marinobacterium stanieri partial rpoB gene for DNA-directed RNA polymerase beta chain, strain LMG 6847T",1720,0,972,96.5,97.94,98.53,102.1,8.56,1718.81,1e-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"86473|AB188772.1 Uncultured gamma proteobacterium gene for 16S rRNA, partial sequence",1754,0,1502,54.06,54.66,98.9,182.95,5.49,1752.16,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"239745|AB188774.1 Uncultured Desulfobulbus sp. gene for 16S rRNA, partial sequence",1006,0,1517,42.06,42.19,99.69,237.03,3.8,1004.14,1e-26,239745,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,uncultured Desulfobulbus sp.
"34034|AB188778.1 Uncultured delta proteobacterium gene for 16S rRNA, partial sequenceAB188780.1 Maorithyas hadalis gill thioautotrophic symbiont II gene for 16S rRNA, partial sequence",2864,0,1479,92.77,93.98,98.71,106.4,8.35,2862.19,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AB189381.1 Uncultured delta proteobacterium gene for 16S rRNA, partial sequence, clone: JT75-327",4664,0,1524,99.41,99.93,99.47,100.07,14.03,4662.13,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"160238|AB189382.1 Uncultured Cytophaga sp. gene for 16S rRNA, partial sequence, clone: JT75-329",1982,0,1485,62.09,63.5,97.77,157.48,6.06,1980.18,1e-26,978,Bacteria,unk_k,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,
"77133|AB213219.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: PaswB58",508,0,874,55.03,55.38,99.38,180.58,2.75,506.93,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"266615|AB196570.1 Halomonas sp. SMT L23 ectB gene for diaminobutyric acid aminotransferasepartial cds, stain: SMT L23AB196575.1 Halomonas sp. SYM P10 ectB gene for diaminobutyric acid aminotransferasepartial cds, stain: SYM P10",570,0,333,91.59,91.59,100.0,109.18,7.04,569.59,1e-26,266615,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. SMT L23
"266740|AB196576.1 Halomonas sp. SYM P11 ectB gene for diaminobutyric acid aminotransferasepartial cds, stain: SYM P11",184,0,333,80.48,80.48,100.0,124.25,2.41,183.59,1e-26,266740,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. SYM P11
"266615|AB196588.1 Halomonas sp. SMT L23 ectC gene for ectoine synthasepartial cds, stain: SMT L2",220,0,345,79.42,79.71,99.64,125.45,2.4,219.58,1e-26,266615,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. SMT L23
"34034|DQ112394.1 Uncultured delta proteobacterium clone KorMud-V6C13 16S ribosomal RNA gene, partial sequence",724,0,940,65.74,67.13,97.94,148.97,4.28,722.85,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"120858|DQ112504.1 Uncultured epsilon proteobacterium clone KorMud-V6C96 16S ribosomal RNA gene, partial sequence",1044,0,924,60.93,64.5,94.46,155.03,5.5,1042.87,1e-26,29547,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,,
"100234|DQ351738.1 Uncultured Verrucomicrobiales bacterium clone Belgica2005/10-120-1 16S ribosomal RNA gene, complete sequence",1352,0,1533,63.34,64.71,97.88,154.54,3.72,1350.12,1e-26,48461,Bacteria,unk_k,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,unk_f,unk_g,
"152509|DQ351745.1 Uncultured Bacteroidetes bacterium clone Belgica2005/10-120-11 16S ribosomal RNA gene, complete sequence",790,0,1482,59.24,60.05,98.65,166.52,2.77,788.19,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"152509|DQ351761.1 Uncultured Bacteroidetes bacterium clone Belgica2005/10-130-16 16S ribosomal RNA gene, complete sequence",1130,0,1478,75.03,76.59,97.97,130.57,4.02,1128.19,1e-26,976,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,
