Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
9606|X14302.1 Human alpha satellite DNA (clone=pSX15),4352,2,847,97.87,99.65,98.22,100.36,21.8,4344.42,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|X14303.1 Human alpha satellite DNA (clone=pSX21),1880,4,1359,53.27,54.23,98.24,184.4,5.96,1867.87,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|X58269.1 Human alpha satellite DNA (pZ20R clone),1850,1,563,50.27,50.27,100.0,198.94,12.3,1844.97,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X03455.1 Human alpha repetitive DNA sequence (alpha-R1-107),140,0,169,94.08,100.0,94.08,100.0,4.89,138.49,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|X13633.1 Human alphoid repetitive DNA sequence (alpha-R1-126, 2'monomer)",100,0,169,89.94,91.72,98.06,109.03,3.05,98.5,9.999999999999999e-23,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|X13634.1 Human alphoid repetitive DNA sequence (alpha-R1-3, 1'monomer)",468,0,171,80.7,81.29,99.28,123.02,9.07,466.47,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|X13635.1 Human alphoid repetitive DNA sequence (alpha-R1-3, 2'monomer)",630,0,169,99.41,100.0,99.41,100.0,19.06,628.49,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|X13638.1 Human alphoid repetitive DNA sequence (alpha-R1-6, 1'monomer)",1116,0,171,100.0,100.0,100.0,100.0,25.4,1114.47,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|X13644.1 Human alphoid repetitive DNA sequence (alpha-R1-115, 1'monomer)",326,0,171,94.15,100.0,94.15,100.0,9.19,324.47,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|X13648.1 Human alphoid repetitive DNA sequence (alpha-R1-9, 2'monomer)",336,0,169,86.98,86.98,100.0,114.97,10.22,334.49,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|X13654.1 Human alphoid repetitive DNA sequence (alpha-R1-57, 2'monomer)X14266.1 Human alphoid repetitive DNA sequence (alpha-R1-44, 2'monomer)",182,0,169,79.29,79.88,99.26,125.19,4.23,180.49,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M65181.1 Homo sapiens clone pYAM 9-60 alpha-satellite, partial sequence",3950,4,1364,62.61,63.49,98.61,157.51,14.21,3937.81,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M65182.1 Homo sapiens clone pYAM 4-22 alpha-satellite, partial sequenceM38466.1 Homo sapiens clone pYAM 4-22 alpha-satellite sequence",306,1,515,84.27,85.05,99.09,117.58,4.01,301.42,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M15492.1 Human alphoid repetitive DNA repeats 1' monomer, clone alpha-RI(680) 22-73-I-1",136,0,171,94.74,96.49,98.18,103.64,3.49,134.48,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|M21727.1 Human alphoid repetitive DNA repeats 2' monomer, clone alpha-RI(680) 22-73-II-2",234,0,171,95.32,95.91,99.39,104.27,5.19,232.47,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M22282.1 Human alphoid repetitive DNA repeats 1' monomer, clone alpha-XT(680) 22-94 I",184,0,171,95.32,95.91,99.39,104.27,3.51,182.47,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M22288.1 Human alphoid repetitive DNA repeats 1' monomer, clone alpha-XT(680) 22-94 IV",232,0,171,97.08,100.0,97.08,100.0,8.15,230.47,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|M58446.1 Human alpha-satellite DNA D16Z2, clone pSE16-2",4798,2,680,83.97,84.41,99.48,118.47,26.78,4791.92,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|S90110.1 {satellite III subfamily pTRS-63} [human, Genomic, 1404 nt]",772,4,1404,28.21,29.49,95.65,339.13,1.71,759.52,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9606|L01057.1 Human (clone TRI-6) satellite I repeat region,2734,8,2970,53.94,56.26,95.87,177.74,3.89,2707.53,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|M28031.1 Human alphoid repetitive DNA, subclone pHS53",25308,7,2550,84.75,85.92,98.63,116.39,42.27,25285.18,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|K00901.1 Human centromere tandem repetitive DNA,12032,1,340,99.71,100.0,99.71,100.0,167.41,12028.96,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M18120.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-72",772,1,343,82.51,83.09,99.3,120.35,9.75,768.94,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M18121.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-32",1338,1,344,95.93,100.0,95.93,100.0,24.72,1334.92,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|M18122.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-83M21871.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-B3",400,1,344,66.57,66.86,99.57,149.57,4.19,396.93,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M18123.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-82",256,1,344,55.81,57.56,96.97,173.74,3.49,252.94,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|M18124.1 Human alphoid repeat (alpha-RI-DNA), clone alpha-31",340,1,344,93.6,99.71,93.88,100.29,5.28,336.93,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|M20433.1 Human alphoid satellite DNA repeat (h-alpha-RI), clone 51",2174,1,340,93.82,93.82,100.0,106.58,26.92,2170.96,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M20434.1 Human alphoid satellite DNA repeat (h-alpha-RI), clone 9",1954,1,340,92.35,92.94,99.37,107.59,23.12,1950.96,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|M12962.1 Human Sau3A repetitive sequence,994,2,849,72.56,74.32,97.62,134.55,6.2,986.43,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|M13882.1 Human alpha satellite from the centromeric region DNA with 16 monomer tandem repeats,17942,8,2712,95.58,96.17,99.39,103.99,27.65,17917.74,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|M93286.1 Human alpha-satellite repetitive DNA,5146,4,1361,92.95,95.66,97.16,104.53,17.11,5133.83,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|M93288.1 Human alpha-satellite repetitive DNA,3390,3,1026,84.89,85.67,99.09,116.72,14.29,3380.83,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|M26920.1 Human alpha satellite DNA, clone pC1.8",3100,3,1049,70.92,72.55,97.77,137.84,15.15,3090.62,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|L08506.1 Homo sapiens (clone 14A-14mer(100)) alpha-satellite repeat,860,3,1299,54.58,55.5,98.34,180.17,2.96,848.44,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|L08521.1 Homo sapiens (clone 14A-16MER(75)) alpha-satelite repeat,3592,4,1637,80.57,81.0,99.47,123.45,10.23,3577.37,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|L08570.1 Homo sapiens (clone 745-16mer(66)) alpha-satellite repeat,2786,4,1638,64.41,64.77,99.43,154.38,6.54,2771.37,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|L08532.1 Homo sapiens (clone 4C-13mer(108)) alpha-satellite repeat,390,2,733,40.79,40.93,99.67,244.33,2.05,383.49,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|L06276.1 Human chromosome 20 centromeric SN2 alpha satellite DNA sequence,272,0,171,100.0,100.0,100.0,100.0,6.24,270.47,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|D16476.1 Homo sapiens mRNA, Xq terminal portion",750,3,1181,25.32,25.4,99.67,393.67,2.03,739.49,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|D29750.1 Homo sapiens gene alpha satellite in centromeric region of chromosome 21,6784,5,1868,92.18,92.88,99.25,107.67,16.37,6767.3,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|X72623.1 H. sapiens satellite 2 sequenceL12216.1 Homo sapiens satellite 2 repetitive element DNA,4110,4,1352,51.7,53.77,96.15,185.97,11.7,4097.91,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|Z55187.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 24b2, reverse read cpg24b2.rt1a",616,0,332,87.95,91.27,96.37,109.57,9.91,613.03,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|Z55820.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 66h8, forward read cpg66h8.ft1a",652,0,294,69.05,70.41,98.07,142.03,10.24,649.37,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|Z57300.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 170f9, reverse read cpg170f9.rt1a",720,0,297,80.81,82.49,97.96,121.22,10.8,717.35,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|Z57320.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 171c10, forward read cpg171c10.ft1a",148,0,284,71.48,71.83,99.51,139.22,2.12,145.48,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|Z57321.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 171c10, reverse read cpg171c10.rt1a",318,0,325,75.38,75.38,100.0,132.65,4.25,315.1,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|Z61072.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 43d5, forward read cpg43d5.ft1a",224,0,308,79.22,79.87,99.19,125.2,3.74,221.26,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|Z61875.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 5c10, forward read cpg5c10.f1a",150,0,280,80.0,81.43,98.25,122.81,3.21,147.51,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|Z65792.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 5c4, forward read cpg5c4.f1a",252,0,302,74.17,76.16,97.39,131.3,4.57,249.31,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|Z65922.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 67e9, forward read cpg67e9.ft1a",156,0,291,61.86,62.54,98.9,159.89,2.06,153.41,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|Z66183.1 H.sapiens CpG island DNA genomic Mse1 fragment, clone 7d3, forward read cpg7d3.ft1d",176,0,280,38.21,38.93,98.17,256.88,2.66,173.51,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|X97480.1 H.sapiens alphoid repetitive DNA,338,1,392,57.14,57.4,99.56,174.22,3.83,334.51,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|Z78661.1 H.sapiens flow-sorted chromosome 6 TaqI fragment, SC6pA13F6",744,0,162,100.0,100.0,100.0,100.0,17.79,742.55,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AB005791.1 Homo sapiens gene, BamHI repeat region",1916,9,3222,49.66,50.53,98.28,197.91,3.03,1887.35,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|AJ007762.1 Homo sapiens alpha satellite, chromosome 19",322,1,510,58.43,58.82,99.33,170.0,2.89,317.46,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|AF147380.1 Homo sapiens full length insert cDNA clone YB67A06,406,1,655,44.89,46.11,97.35,216.89,2.32,400.17,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|AJ338824.1 Homo sapiens genomic sequence surrounding NotI site, clone NR1-RE20C",368,1,654,39.91,40.06,99.62,249.62,1.83,362.19,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ342922.1 Homo sapiens genomic sequence surrounding NotI site, clone NL1-HE5R",1404,1,665,44.21,46.02,96.08,217.32,10.37,1398.06,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"9606|AJ295042.1 Homo sapiens alpha satellite, alphaRI-14 probe",3004,1,346,100.0,100.0,100.0,100.0,36.08,3000.9,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ295043.1 Homo sapiens alpha satellite, alphaRI-15 probe",784,1,346,63.01,63.01,100.0,158.72,7.8,780.91,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ295044.1 Homo sapiens alpha satellite, pZ5.1 probe",3726,2,685,97.96,100.15,97.81,99.85,24.54,3719.87,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"9606|AJ509887.1 Homo sapiens alpha satellite DNA, subclone A7BamHI-6AJ509889.1 Homo sapiens alpha satellite DNA, subclone A7BamHI-8",362,1,535,57.38,57.38,100.0,174.27,2.65,357.24,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ509906.1 Homo sapiens alpha satellite DNA, subclone A8BamHI-4AJ509908.1 Homo sapiens alpha satellite DNA, subclone A8BamHI-6AJ509916.1 Homo sapiens alpha satellite DNA, subclone A10BamHI-5AJ509917.1 Homo sapiens alpha satellite DNA, subclone A10BamHI-6AJ509918.1 Homo sapiens alpha satellite DNA, subclone A10BamHI-7AJ509919.1 Homo sapiens alpha satellite DNA, subclone A10BamHI-8AJ509920.1 Homo sapiens alpha satellite DNA, subclone A10BamHI-9",720,1,535,96.26,96.26,100.0,103.88,5.46,715.23,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ510018.1 Homo sapiens alpha satellite DNA, subclone A7DraIII-2",498,1,549,54.46,54.64,99.67,183.0,3.82,493.11,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"77133|AJ535232.1 Uncultured bacterium partial 16S rRNA gene, clone Hyd24-12",1426,4,1533,36.2,36.53,99.11,273.75,4.85,1412.34,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"34034|AJ535248.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-63",980,4,1522,25.1,25.1,100.0,398.43,2.36,966.46,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AJ535253.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-29",1632,4,1530,39.15,39.22,99.83,255.0,4.12,1618.36,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"9606|AJ563631.1 Homo sapiens alpha satellite DNA, subclone B2EcoRI-1, left end",664,1,545,53.39,53.39,100.0,187.29,4.27,659.14,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"9606|AJ563632.1 Homo sapiens alpha satellite DNA, subclone B2EcoRI-2, left endAJ563634.1 Homo sapiens alpha satellite DNA, subclone B2EcoRI-4, left endAJ563639.1 Homo sapiens alpha satellite DNA, subclone B2EcoRI-9, left end",1732,1,545,87.52,88.26,99.17,113.31,12.65,1727.13,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"115547|AJ578089.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal61",5272,4,1358,49.04,49.12,99.85,203.6,19.12,5259.86,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"29281|AJ578114.1 Uncultured crenarchaeote partial 16S rRNA gene, clone Hyd24-Arch07b",1416,4,1366,27.01,27.09,99.73,369.19,4.5,1403.82,1e-26,29281,Archaea,unk_k,Crenarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured crenarchaeote
"305355|AY689899.1 Uncultured Chlamydiae bacterium clone BPM3_E06 16S ribosomal RNA gene, partial sequence",508,2,826,34.62,36.32,95.33,275.33,2.91,500.65,1e-26,204429,Bacteria,unk_k,Chlamydiae,Chlamydiia,unk_o,unk_f,,
9606|AY845704.1 Homo sapiens clone 17 satellite III mRNA sequence,1310,2,696,63.79,64.8,98.45,154.32,6.97,1303.78,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|AY845706.1 Homo sapiens clone 19 satellite III mRNA sequence,610,3,1206,56.05,57.96,96.71,172.53,1.94,599.29,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
115547|CR937009.1 uncultured archaeon fos0644c1,966836,116,39253,84.48,89.15,94.76,112.17,176.1,966485.37,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
115547|CR937011.1 uncultured archaeon fos0625e3,977532,117,39450,83.56,85.13,98.16,117.47,125.01,977179.62,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|CR937012.1 uncultured archaeon fos0642g6,764604,115,38616,74.76,76.69,97.49,130.4,109.94,764258.93,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
9606|X60726.1 Human satellite III DNA (central Sau 3A fragment of 1.77 kb Eco RI repeat),1344,1,350,99.14,99.14,100.0,100.86,12.92,1340.87,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
10090|Z22164.1 M.musculus minor satellite DNA,242,0,242,51.24,53.72,95.38,186.15,6.07,239.84,1e-26,10066,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,,
9606|AF234768.1 Homo sapiens clone C1 alpha satellite sequence,492,2,793,33.17,34.55,95.99,289.42,4.55,484.95,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9606|AF234769.1 Homo sapiens clone C2 alpha satellite sequence,494,2,813,67.9,70.73,96.0,141.39,3.32,486.77,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9606|AF237720.1 Homo sapiens alpha satellite sequence,4000,5,1817,73.97,77.49,95.45,129.05,14.2,3983.76,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
9940|AF245169.1 Ovis aries microsatellite II sequence,1638,1,486,94.86,99.79,95.05,100.21,13.67,1633.65,1e-26,9895,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,,
"3818|AF479309.1 Arachis hypogaea putative early light induced protein (Gsi-39) mRNA, partial cds",648,1,636,23.58,23.58,100.0,424.0,1.89,642.33,1e-26,3818,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
"9606|AC106819.3 Homo sapiens chromosome 16 clone RP11-696P19, complete sequence",114614,366,122793,28.17,28.76,97.95,347.76,3.49,113519.76,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"4097|AJ718123.1 Nicotiana tabacum cDNA-AFLP-fragment BSTT3-44-250, cultivar Bright Yellow 2",206,0,191,96.86,100.0,96.86,100.0,6.2,204.3,1e-26,4085,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,
"278062|AJ704721.1 Uncultured WCHB1 bacterium partial 16S rRNA gene, clone HMMVBeg-51",734,1,652,40.64,42.79,94.98,233.69,6.4,728.18,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"9606|BX294002.19 Human DNA sequence from clone RP3-376K6, complete sequence",37482,44,15008,34.2,34.61,98.83,288.95,10.96,37347.88,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|Z12006.1 Homo sapiens alpha satellite DNA,19886,8,2889,95.74,96.64,99.07,103.47,31.11,19860.16,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
9606|Z12010.1 Homo sapiens alpha satellite DNA,1994,4,1362,75.11,77.17,97.34,129.59,7.29,1981.84,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
9606|Z12011.1 Homo sapiens alpha satellite DNA,7606,3,1197,98.91,100.0,98.91,100.0,31.53,7595.29,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"263865|AB015271.1 Uncultured candidate division JS1 bacterium gene for 16S ribosomal RNA, partial sequence, clone:JTB243",4956,4,1548,83.27,83.98,99.15,119.08,16.65,4942.16,1e-26,263865,Bacteria,unk_k,Atribacterota,unk_c,unk_o,unk_f,unk_g,uncultured Atribacterota bacterium
