Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"91357|AF118019.1 Pseudoalteromonas sp. RE10F/5 16S ribosomal RNA gene, partial sequence",1244,7,1497,47.76,47.83,99.86,209.08,3.76,1220.81,1e-26,91357,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. RE10F/5
"265883|NR_028660.1 Thiomicrospira thermophila strain I78 16S ribosomal RNA gene, partial sequenceAB166731.1 Thiomicrospira thermophila gene for 16S rRNA, partial sequence",9806,7,1478,98.92,98.92,100.0,101.09,33.35,9782.94,1e-26,265883,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio thermophilus
298386|CR377818.1 Photobacterium profundum SS9 plasmid 1,136314,416,80033,55.02,56.73,97.0,176.28,9.05,135069.24,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378663.1 Photobacterium profundum SS9; segment 1/12,240108,1811,348044,74.87,77.57,96.52,128.92,4.16,234727.67,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378664.1 Photobacterium profundum SS9; segment 2/12,343402,1811,347994,78.14,80.64,96.9,124.01,5.71,338006.84,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378665.1 Photobacterium profundum SS9; segment 3/12,203508,1807,347213,67.16,69.37,96.83,144.16,3.49,198149.79,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378666.1 Photobacterium profundum SS9; segment 4/12,210072,1812,348313,74.78,77.34,96.69,129.3,3.63,204695.08,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378669.1 Photobacterium profundum SS9; segment 7/12,186838,1818,349285,66.94,69.25,96.66,144.41,3.21,181453.79,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378670.1 Photobacterium profundum SS9; segment 8/12,187356,1814,348672,70.01,72.6,96.42,137.74,3.37,181980.93,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378672.1 Photobacterium profundum SS9; segment 10/12,217988,1814,348526,72.63,75.1,96.71,133.15,3.73,212605.64,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378673.1 Photobacterium profundum SS9; segment 11/12,230362,1820,349814,75.52,78.18,96.6,127.92,3.98,224956.83,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378674.1 Photobacterium profundum SS9; segment 12/12,197980,1306,251097,71.26,73.48,96.98,136.09,4.53,194093.31,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378675.1 Photobacterium profundum SS9 chromosome 2; segment 1/7,187590,1819,349544,65.63,67.95,96.59,147.17,3.19,182201.57,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378676.1 Photobacterium profundum SS9 chromosome 2; segment 2/7,174696,1788,343529,61.9,64.07,96.62,156.08,3.04,169403.98,1e-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
"166587|AY542247.1 Uncultured Chloroflexi bacterium clone G0M HRB-19 16S ribosomal RNA gene, partial sequence",340,1,363,94.77,96.14,98.57,104.01,6.23,334.37,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"34034|AY542260.1 Uncultured delta proteobacterium clone GoM IRB-11 16S ribosomal RNA gene, partial sequence",886,2,545,92.48,92.84,99.6,107.71,10.21,877.52,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"115547|AJ578134.1 Uncultured archaeon partial 16S rRNA gene, clone BS-S-D7",3274,7,1360,46.91,47.35,99.07,211.18,14.33,3252.82,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AY897266.1 Uncultured bacterium clone DOVER48B 16S ribosomal RNA gene, partial sequence",1378,3,737,97.42,97.96,99.45,102.08,8.57,1366.53,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ337031.1 Uncultured bacterium clone EV818EB5CPSAJJ20 16S ribosomal RNA gene, partial sequence",838,7,1504,46.08,46.14,99.86,216.71,2.18,814.8,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"263865|AB015271.1 Uncultured candidate division JS1 bacterium gene for 16S ribosomal RNA, partial sequence, clone:JTB243",16874,8,1548,99.68,100.13,99.55,99.87,55.14,16849.84,1e-26,263865,Bacteria,unk_k,Atribacterota,unk_c,unk_o,unk_f,unk_g,uncultured Atribacterota bacterium
"38313|AY066004.1 Shewanella algae oxacillinase (oxaSH) and transcriptional regulator LysR (otrR) genes, complete cds",1622,11,2300,86.22,87.35,98.71,114.48,3.02,1586.43,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"74109|DQ027054.1 Photobacterium profundum strain 3TCK 16S ribosomal RNA gene, partial sequence",7570,7,1500,93.8,93.93,99.86,106.46,21.73,7546.6,1e-26,74109,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum
"152509|DQ351745.1 Uncultured Bacteroidetes bacterium clone Belgica2005/10-120-11 16S ribosomal RNA gene, complete sequence",764,7,1482,76.72,78.68,97.51,127.1,2.74,741.16,1e-26,976,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,
"198240|AY883171.1 Uncultured methanogenic archaeon clone AN07BC1_15_31 McrA (mcrA) gene, partial cds",3364,4,769,98.57,100.0,98.57,100.0,14.52,3352.01,1e-26,198240,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured methanogenic archaeon
"77133|DQ312792.1 Uncultured bacterium clone 3H4B 23S ribosomal RNA gene, partial sequence",1486,4,769,97.53,98.96,98.55,101.05,11.48,1474.03,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177308.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B11.12",4094,5,1122,99.55,100.0,99.55,100.0,16.52,4076.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177325.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B22.26",920,5,1114,39.5,39.59,99.77,252.61,4.18,902.75,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177160.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1230B18.11",896,7,1428,87.61,87.89,99.68,113.78,3.57,873.94,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177195.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1230B3.29",2822,7,1426,77.14,77.42,99.64,129.17,10.06,2799.81,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177298.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B1.23",2266,5,1104,64.49,64.67,99.72,154.62,10.34,2248.81,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AY324366.1 Uncultured archaeon clone BR_42bB02 methyl-coenzyme M reductase subunit alpha (mcrA) gene, partial cds",1680,4,774,82.3,85.53,96.22,116.92,8.91,1667.95,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AY327048.1 Uncultured archaeon clone GZfos17A3 mcr operon, complete sequence",42222,50,9787,91.18,94.44,96.55,105.89,28.19,42069.39,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AY327049.1 Uncultured archaeon clone GZfos35D7 mcr operon, partial sequence",9462,25,4947,70.97,75.48,94.03,132.49,14.5,9385.01,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"344338|AY211739.1 Uncultured Gram-positive bacterium clone GoM GC185 608S6 16S ribosomal RNA gene, partial sequence",290,2,515,80.78,80.97,99.76,123.5,2.91,282.05,1e-26,344338,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,unk_g,uncultured Firmicutes bacterium
"34034|AF424235.1 Uncultured delta proteobacterium MERTZ_0CM_172 16S ribosomal RNA gene, partial sequence",868,3,609,71.26,73.23,97.31,136.55,8.23,858.53,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"174294|AF424328.1 Uncultured candidate division OP8 bacterium MERTZ_2CM_346 16S ribosomal RNA gene, partial sequence",764,5,999,75.18,75.28,99.87,132.85,3.6,748.54,1e-26,174294,Bacteria,unk_k,Candidatus Aminicenantes,unk_c,unk_o,unk_f,unk_g,uncultured Aminicenantes bacterium
"114243|AF424528.1 Uncultured euryarchaeote MERTZ_2CM_6 16S ribosomal RNA gene, partial sequence",1202,5,961,90.53,96.05,94.26,104.12,7.52,1187.07,1e-26,28890,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,,
"114243|AF424537.1 Uncultured euryarchaeote MERTZ_21CM_339 16S ribosomal RNA gene, partial sequence",830,5,964,51.35,53.63,95.74,186.46,4.89,815.06,1e-26,28890,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,,
"96979|AF154104.1 Uncultured hydrocarbon seep bacterium GCA004 16S ribosomal RNA gene, partial sequence",2506,7,1474,85.55,86.77,98.59,115.25,8.47,2483.07,1e-26,96979,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured hydrocarbon seep bacterium GCA004
"135300|AF286031.1 Saltmarsh clone LCP-26 16S ribosomal RNA, partial sequence",2594,7,1523,69.86,70.98,98.43,140.89,8.03,2570.31,1e-26,135300,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,saltmarsh clone LCP-26
"95861|AF146247.1 Uncultured archaeon CLEAR-24 16S ribosomal RNA gene, partial sequence",1486,5,963,80.48,85.46,94.17,117.01,8.66,1471.03,1e-26,28890,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,,
"34034|AF354145.1 Uncultured delta proteobacterium clone Eel-BE1B4 16S ribosomal RNA gene, partial sequence",1014,7,1535,39.09,39.22,99.67,254.98,3.13,990.27,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AF354147.1 Uncultured delta proteobacterium clone Eel-BE1C3 16S ribosomal RNA gene, partial sequence",1752,7,1517,53.26,53.79,99.02,185.91,5.34,1728.45,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"102369|AF172905.1 Uncultured bacterium CA1-03 16S ribosomal RNA gene, partial sequence",706,5,1051,49.76,52.33,95.09,191.09,3.86,689.75,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"283625|AY646155.1 Pseudoalteromonas sp. JL-300 16S ribosomal RNA gene, partial sequence",52290,7,1507,99.8,100.13,99.67,99.87,150.55,52266.47,1e-26,283625,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. JL-300
"38313|AY343493.1 Shewanella algae OXA-55 (blaOXA-55) gene, complete cds; and LysR (lysR) gene, partial cds",1204,7,1516,65.11,66.03,98.6,151.45,3.33,1180.53,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"77133|AY592382.1 Uncultured bacterium clone Amsterdam-2B-22 16S ribosomal RNA gene, partial sequence",678,6,1211,71.43,71.51,99.88,139.84,2.73,659.32,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY592618.1 Uncultured bacterium clone Napoli-1B-63 16S ribosomal RNA gene, partial sequence",520,3,763,82.96,83.88,98.91,119.22,3.15,508.2,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY592626.1 Uncultured bacterium clone Napoli-1B-71 16S ribosomal RNA gene, partial sequence",2250,6,1178,88.29,88.71,99.52,112.73,11.41,2231.67,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY592634.1 Uncultured bacterium clone Napoli-2B-07 16S ribosomal RNA gene, partial sequence",1730,6,1305,94.64,96.09,98.48,104.07,7.33,1709.72,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY592653.1 Uncultured bacterium clone Napoli-2B-29 16S ribosomal RNA gene, partial sequence",608,6,1200,47.92,48.25,99.31,207.25,2.4,589.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"166587|AY324522.1 Uncultured Chloroflexi bacterium clone GoM_5268WB-39 16S ribosomal RNA, partial sequence",392,2,478,99.79,100.0,99.79,100.0,4.32,384.6,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"77133|AY769010.1 Uncultured bacterium clone FE2MidBac32 16S ribosomal RNA gene, partial sequence",586,3,680,76.32,76.91,99.24,130.02,3.97,575.46,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|AY245207.1 Vibrio alginolyticus strain VIK4 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer region, complete sequence; and 23S ribosomal RNA gene, partial sequence",854,1,295,98.98,99.66,99.32,100.34,12.3,849.4,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"265883|AY958067.1 Thiomicrospira thermophila isolate KT8_cbbM ribulose-1,5-bisphosphate carboxylase/oxygenase form II (cbbM) gene, partial cds",160,1,312,96.79,99.68,97.11,100.32,3.32,155.19,1e-26,28884,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,
"265883|AY958068.1 Thiomicrospira thermophila isolate kt8_cbbL_2_5 ribulose-1,5-bisphosphate carboxylase/oxygenase form I (cbbL) gene, partial cds",144,1,274,94.53,101.09,93.5,98.92,2.98,139.78,1e-26,135616,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
"155900|DQ396193.1 Uncultured organism clone ctg_NISA326 16S ribosomal RNA gene, partial sequence",1716,7,1535,28.01,28.08,99.77,356.15,4.89,1692.17,1e-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"77133|DQ007534.1 Uncultured bacterium clone Tommeliten_BAC57FL 16S ribosomal RNA gene, partial sequence",1834,7,1534,85.14,85.53,99.54,116.92,5.63,1810.18,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|DQ007532.1 Uncultured archaeon clone Tommeliten_ARCH1FL 16S ribosomal RNA gene, partial sequence",1298,7,1359,44.15,44.3,99.67,225.75,4.64,1276.93,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|DQ004673.1 Uncultured bacterium clone CAMV300B916 16S ribosomal RNA gene, partial sequence",1312,7,1500,81.47,83.4,97.68,119.9,4.6,1288.76,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|DQ521864.1 Uncultured archaeon clone SMI1-GC205-mcr12 methyl coenzyme M reductase subunit A (mcrA) gene, partial cds",628,3,734,56.4,59.26,95.17,168.74,5.29,616.63,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|DQ521801.1 Uncultured bacterium clone SMI1-GC205-Bac58 16S ribosomal RNA gene, partial sequence",1636,7,1478,71.85,73.21,98.15,136.6,7.51,1613.06,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"152509|DQ911834.1 Uncultured Bacteroidetes bacterium isolate DGGE band GWS-TC-c2-PA 16S ribosomal RNA gene, partial sequence",336,3,581,51.29,51.64,99.33,193.67,2.58,327.03,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"663|DQ979323.1 Vibrio alginolyticus strain zj2004 outer membrane protein precursor (ompV) gene, partial cds",766,3,720,87.36,88.19,99.06,113.39,4.59,754.83,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"166587|EF061971.1 Uncultured Chloroflexi bacterium clone XME55 16S ribosomal RNA gene, partial sequence",858,7,1459,28.38,28.92,98.1,345.73,2.71,835.48,1e-26,200795,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,
"77133|AB284827.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: F2apm1B21",770,4,871,62.34,68.77,90.65,145.41,6.17,756.5,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|EF093805.1 Uncultured bacterium clone 11_37S_19_27 16S ribosomal RNA gene, partial sequenceEF093807.1 Uncultured bacterium clone 11_37S_21_51 16S ribosomal RNA gene, partial sequenceEF093816.1 Uncultured bacterium clone 11_37S_30_64 16S ribosomal RNA gene, partial sequence",1872,1,337,97.03,100.0,97.03,100.0,32.69,1866.74,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EF093809.1 Uncultured bacterium clone 11_37S_23_75 16S ribosomal RNA gene, partial sequence",534,1,359,90.81,91.36,99.39,109.45,7.37,528.42,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EF093811.1 Uncultured bacterium clone 11_37S_26_16 16S ribosomal RNA gene, partial sequenceEF093813.1 Uncultured bacterium clone 11_37S_28_40 16S ribosomal RNA gene, partial sequenceEF093824.1 Uncultured bacterium clone 11_37S_3_25 16S ribosomal RNA gene, partial sequence",398,1,349,99.71,100.0,99.71,100.0,5.7,392.58,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EF093817.1 Uncultured bacterium clone 11_37S_31_76 16S ribosomal RNA gene, partial sequenceEF093835.1 Uncultured bacterium clone 11_37S_54_67 16S ribosomal RNA gene, partial sequence",1002,1,380,89.74,90.79,98.84,110.14,15.31,996.08,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EF093985.1 Uncultured bacterium clone 17_11T_54_67 16S ribosomal RNA gene, partial sequence",422,1,364,81.32,81.32,100.0,122.97,6.16,416.35,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"663|EF064399.1 Vibrio alginolyticus strain 2406-02 RNA polymerase beta subunit (rpoB) gene, partial cds",496,4,871,84.96,85.07,99.87,117.54,2.75,482.56,1e-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"115547|EF116483.1 Uncultured archaeon clone GoMT41 16S ribosomal RNA gene, partial sequence",1024,4,860,66.86,67.79,98.63,147.51,6.59,1010.65,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|EF116484.1 Uncultured archaeon clone GoMT43 16S ribosomal RNA gene, partial sequence",504,4,798,63.91,63.91,100.0,156.47,4.14,491.67,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AM419237.1 Uncultured bacterium partial narG gene for nitrate reductase, clone DBb7",348,3,651,93.86,97.24,96.52,102.84,3.19,337.96,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"351348|CP000514.1 Marinobacter hydrocarbonoclasticus VT8, complete genome",3608020,22434,4326849,49.91,50.8,98.24,196.85,3.95,3541271.34,1e-26,2742,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,
"77133|EF125409.1 Uncultured bacterium clone MSB-1E7 16S ribosomal RNA gene, partial sequence",1340,7,1520,88.16,91.71,96.13,109.04,5.2,1316.45,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|DQ640143.1 Uncultured archaeon clone SBAK-deep-14 16S ribosomal RNA gene, partial sequence",694,7,1378,47.17,47.17,100.0,212.0,2.59,672.77,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"81824|AC198531.1 Monosiga brevicollis clone JGIACYI-5A7, complete sequence",35200,216,41653,51.18,51.75,98.91,193.25,3.67,34554.76,1e-26,81824,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,Monosiga brevicollis
"198431|AM403038.1 Uncultured prokaryote partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, clone G06",686,3,591,92.89,93.57,99.28,106.87,4.56,676.82,1e-26,198431,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured prokaryote
"271091|EF426680.1 Psychrilyobacter atlanticus strain HAW-EB21 23S ribosomal RNA gene, partial sequence",2586,6,1262,94.37,95.09,99.25,105.17,11.98,2566.36,1e-26,271091,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,Psychrilyobacter atlanticus
