Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175245|KX176119.1 Uncultured fungus clone Otu1796 internal transcribed spacer 1 and 5.8S ribosomal RNA gene, partial sequence",150,1,206,97.57,97.57,100,102.49,2.93,145.19,1.00E-26,175245,Eukaryota,Fungi,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured fungus
"10228|XM_002118891.1 Trichoplax adhaerens hypothetical protein, mRNA",822,10,1365,21.98,21.98,100,455,2.64,790.2,1.00E-26,10228,Eukaryota,Metazoa,Placozoa,unk_c,unk_o,Trichoplacidae,Trichoplax,Trichoplax adhaerens
"217165|BT076572.1 Caligus rogercresseyi clone crog-evp-514-096 3-oxoacyl-acyl-carrier-protein reductase putative mRNA, complete cds",35486,8,1026,80.8,83.92,96.28,119.16,205.86,35461.69,1.00E-26,72034,Eukaryota,Metazoa,Arthropoda,Hexanauplia,Siphonostomatoida,Caligidae,,
"256131|FJ445775.1 Chaetoderma nitidulum 28S ribosomal RNA gene, partial sequence",1044,7,890,74.61,77.53,96.23,128.99,7.52,1023.09,1.00E-26,53689,Eukaryota,Metazoa,Mollusca,Caudofoveata,Chaetodermatida,Chaetodermatidae,,
10116|FQ221467.1 Rattus norvegicus TL0ADA35YP01 mRNA sequence,168,2,326,45.09,46.01,98,217.33,1.84,160.43,1.00E-26,10114,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,
"515817|KF589848.1 Amphioctopus fangsiao 16S ribosomal RNA gene, partial sequence",3624,11,1403,54.31,54.45,99.74,183.64,10.96,3590.88,1.00E-26,515817,Eukaryota,Metazoa,Mollusca,Cephalopoda,Octopoda,Octopodidae,Amphioctopus,Amphioctopus fangsiao
"144197|XM_008294340.1 PREDICTED: Stegastes partitus sporozoite surface protein 2-like (LOC103366571), partial mRNA",1840,5,657,42.92,48.55,88.4,205.96,10.86,1824.48,1.00E-26,186623,Eukaryota,Metazoa,Chordata,Actinopteri,unk_o,,,
225164|XM_009061673.1 Lottia gigantea hypothetical protein partial mRNA,1776,6,879,70.19,73.27,95.81,136.49,14.54,1755.27,1.00E-26,69676,Eukaryota,Metazoa,Mollusca,Gastropoda,unk_o,Lottiidae,,
"6290|LM607401.1 Haemonchus placei genome assembly H_placei_MHpl1 ,scaffold HPLM_contig0015518",384,4,519,77.84,79.38,98.06,125.97,5.2,371.87,1.00E-26,6288,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Haemonchidae,Haemonchus,
9938|KM272303.1 Ovis aries musimon satellite I sequence,988,6,816,78.68,79.04,99.53,126.51,5.53,968.82,1.00E-26,9940,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
"37621|XM_014825089.1 PREDICTED: Priapulus caudatus cytochrome c oxidase subunit 1-like (LOC106820582), partial mRNA",212,3,413,78.45,84.99,92.31,117.66,4.36,202.41,1.00E-26,37891,Eukaryota,Metazoa,Priapulida,Priapulimorpha,Priapulimorphida,Priapulidae,,
"672|L04544.1 Vibrio vulnificus beta-N-acetylhexosaminidase (hex) gene, complete cds",42506,39,5045,83.77,84.9,98.67,117.79,38.63,42386.56,1.00E-26,672,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus
"663|M76768.1 Vibrio alginolyticus enzyme II-sucrose protein (scrA) gene and fructokinase (scrK) gene, complete cds",3302,23,2955,37.02,37.7,98.2,265.26,5.04,3232.6,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
38313|X81622.1 S.alga 16S rRNA gene (FeRed),3012,12,1538,27.89,27.96,99.77,357.67,9.1,2975.74,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"40575|NR_026131.1 Clostridium grantii strain A1 16S ribosomal RNA gene, partial sequenceX75272.1 Clostridium grantii (A1) partial 16S ribosomal RNA gene",2802,11,1494,73.29,73.96,99.1,135.2,8.92,2766.78,1.00E-26,40575,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium grantii
"663|AB004068.1 Vibrio alginolyticus DNA for PomA, PomB, complete cds",9980,17,2196,25.77,26.14,98.61,382.58,20.33,9928.06,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"1498|AB013090.1 Clostridium histolyticum rrlB gene for 23S rRNA, partial sequence",2032,21,2669,54.78,56.54,96.89,176.87,5.62,1969.6,1.00E-26,1769729,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hathewaya,
"91357|AF118019.1 Pseudoalteromonas sp. RE10F/5 16S ribosomal RNA gene, partial sequence",866,11,1497,38.48,38.54,99.83,259.45,2.4,831.15,1.00E-26,91357,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. RE10F/5
"115129|AB038031.1 Photobacterium sp. HAR23 gene for 16S rRNA, partial sequence",5018,11,1502,24.37,24.5,99.46,408.15,14.25,4982.51,1.00E-26,115129,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sp. HAR23
"669|AF208073.1 Vibrio harveyi putative nitrate reductase gene, partial cds",2704,4,600,92.5,94.83,97.54,105.45,26.73,2689.81,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"669|AF208074.1 Vibrio harveyi putative trytophanase gene, partial cds",774,2,342,91.23,91.81,99.36,108.92,9.04,765.93,1.00E-26,669,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio harveyi
"1051645|AJ294425.1 Vibrio splendidus 23S rRNA gene, strain CECT 4204 (ATCC 33789)",7104,22,2904,98.35,98.76,99.58,101.26,12.81,7035.45,1.00E-26,29497,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
"136468|AJ294420.1 Vibrio lentus 23S rRNA gene, strain 3OM21, CECT 5293",40620,22,2910,47.77,47.9,99.71,208.75,69.91,40551.07,1.00E-26,136468,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio lentus
"136468|AJ294421.1 Vibrio lentus 23S rRNA gene, strain 4OM4T, CECT 5110T",1645042,22,2909,49.47,49.57,99.79,201.73,2740.51,1644973.13,1.00E-26,136468,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio lentus
"670|AB052655.1 Vibrio parahaemolyticus irgB, irgA genes for iron-regulated virulence regulatory protein homolog, iron-regulated outer membrane virulence protein homolog, complete cds",3946,26,3339,37.02,37.17,99.6,269.06,4.72,3867.55,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"167644|AJ307977.1 Ilyobacter tartaricus 23S rRNA gene, DSM 2382 T",12756,23,2930,35.77,38.33,93.32,260.91,32.26,12686.71,1.00E-26,203492,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,
"2333|AJ307978.1 Propionigenium modestum 23S rRNA gene, strain DSM 2376 T",18336,23,2925,57.13,61.44,92.99,162.77,44.42,18266.78,1.00E-26,203492,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,
"45622|AJ307979.1 Propionigenium maris 23S rRNA gene, strain DSM 9537 T",11586,23,2934,41.17,43.8,94.01,228.33,28.78,11516.63,1.00E-26,203492,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,
"38313|AB079849.1 Shewanella algae gene for sphingolipid ceramide N-deacylase, complete cds, strain:G8",24666,23,2979,97.01,97.31,99.69,102.76,30.73,24595.47,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"38313|AB079850.1 Shewanella algae gene for sphingolipid ceramide N-deacylase, complete cds, strain:NS589",4600,23,2979,37.09,37.56,98.75,266.22,6.47,4529.86,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"86473|AJ535246.1 Uncultured gamma proteobacterium partial 16S rRNA gene, clone Hyd89-87",1456,11,1499,89.19,89.66,99.48,111.53,4.35,1420.85,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"34034|AJ535247.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-22",6998,12,1526,79.49,79.82,99.59,125.29,19.45,6961.91,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AJ535248.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-63",796,12,1522,37.98,38.11,99.66,262.41,3.35,760.64,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"34034|AJ535254.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-52",1356,12,1523,45.5,45.5,100,219.77,3.74,1320.32,1.00E-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"264736|NR_042964.1 Photobacterium frigidiphilum strain SL13 16S ribosomal RNA, partial sequenceAY538749.1 Photobacterium frigidiphilum strain SL13 16S ribosomal RNA gene, complete sequence",834,12,1536,21.88,22.01,99.41,454.44,2.73,798.28,1.00E-26,264736,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium frigidiphilum
"266810|NR_025813.1 Photobacterium lipolyticum strain M37 16S ribosomal RNA gene, partial sequenceAY554009.1 Photobacterium lipolyticum 16S ribosomal RNA gene, partial sequenceKC810967.1 Photobacterium lipolyticum strain VKL4 16S ribosomal RNA gene, partial sequence",3378,11,1498,32.18,32.84,97.97,304.47,8.63,3342.65,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
"115547|AJ578086.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal31",3278,7,927,47.68,47.9,99.55,208.78,16.08,3256.09,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"287961|AY581271.1 Tepidibacter sp. N2-15 16S ribosomal RNA gene, partial sequence",1224,11,1402,51.85,51.85,100,192.85,4.22,1191.16,1.00E-26,287961,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Tepidibacter,Tepidibacter sp. N2-15
"170679|AY751345.1 Vibrio chagasii strain LMG 21353 transmembrane regulatory protein (toxR) gene, partial cds",392,4,603,39.8,40.46,98.36,247.13,2.96,377.93,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"136468|AY751358.1 Vibrio lentus strain CIP 107166 RpoD (rpoD) gene, partial cds",7500,4,528,74.43,76.89,96.8,130.05,98.73,7487.49,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"136468|AY751370.1 Vibrio lentus strain CIP 107166 RctB (rctB) gene, partial cds",9432,5,710,88.45,93.38,94.72,107.09,117.55,9415.18,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"115547|AY704376.1 Uncultured archaeon clone FS142-24A-02 16S ribosomal RNA gene, partial sequence",1722,7,938,63.33,63.33,100,157.91,7.99,1699.89,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"672|AY911393.1 Vibrio vulnificus strain MP-4 16S ribosomal RNA gene, partial sequence",768,11,1511,25.35,25.68,98.71,389.43,2.18,732.91,1.00E-26,672,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio vulnificus
"670|AY911394.1 Vibrio parahaemolyticus strain SW-1 16S ribosomal RNA gene, partial sequence",5760,11,1514,29.66,29.72,99.78,336.44,16.51,5724.21,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"86473|AY932860.1 Uncultured gamma proteobacterium clone I3K-274ITS3 16S-23S ribosomal RNA intergenic spacer, partial sequence",690,5,698,21.06,22.06,95.45,453.25,3.65,673.63,1.00E-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,,
"115547|AJ890142.1 Uncultured archaeon 16S rRNA gene, clone fos0626f11",2292,11,1478,33.49,33.56,99.8,297.98,7.89,2257.2,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"355935|DQ263603.1 Vibrio sp. 26 endonuclease I precursor, gene, complete cds",10864,5,732,83.74,91.94,91.08,108.77,105.4,10846.66,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"136468|DQ263604.1 Vibrio lentus endonuclease I precursor, gene, complete cds",6510,5,732,78.96,84.84,93.08,117.87,62.83,6492.67,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"199737|AJ937675.1 Uncultured candidate division WS3 bacterium 16S rRNA gene (partial), ITS1, tRNA-Ile gene, tRNA-Ala gene and 23S rRNA gene (partial), clone b1bcf1.1.f04.rrna.clone7",6226,32,4085,54.3,57.33,94.71,174.42,11.52,6129.83,1.00E-26,74015,Bacteria,unk_k,Candidatus Latescibacteria,unk_c,unk_o,unk_f,,
115547|CR937009.1 uncultured archaeon fos0644c1,581178,310,39253,83.33,88.45,94.21,113.06,109.03,580248.54,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
115547|CR937011.1 uncultured archaeon fos0625e3,794192,311,39450,83.04,84.63,98.12,118.16,102.83,793257.85,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"663|DQ279068.1 Vibrio alginolyticus strain NB1011 60 kDa heat-shock protein (hsp60) gene, partial cds",13206,4,586,99.83,100,99.83,100,90.9,13192.11,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"170673|AM162553.1 Vibrio kanaloae partial hsp60 gene for heat shock protein 60, type strain LMG 20539T",1480,4,526,68.25,70.91,96.25,141.02,18.55,1467.58,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"136468|AM162554.1 Vibrio lentus partial hsp60 gene for heat shock protein 60, type strain CIP 107166T",4726,4,541,92.24,95.56,96.52,104.64,58.6,4713.19,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
115547|CR937012.1 uncultured archaeon fos0642g6,3553896,304,38616,70.95,74.75,94.91,133.77,594.07,3552983.13,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"314914|AJ973105.1 Vibrio sp. 12g06 partial rpoB gene for putative DNA-directed rna polymerase, beta subunit",116630,8,1072,90.21,92.26,97.78,108.39,589.99,116604.59,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"314907|AJ973108.1 Vibrio sp. 12f11 partial rpoB gene for putative DNA-directed RNA polymerase, beta subunit",3006,8,1058,50.95,53.5,95.23,186.93,17.31,2981.01,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
669|AJ973243.1 Vibrio harveyi partial mvaA gene for putative 3-hydroxy-3-methylglutaryl coenzyme A reductase,1952,3,458,94.32,96.72,97.52,103.39,18.99,1941.17,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"86473|DQ234241.2 Uncultured gamma proteobacterium clone DS159 16S ribosomal RNA gene gene, partial sequence",3862,12,1543,90.21,91.12,99,109.74,12.11,3825.58,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"29497|AM157713.1 Vibrio splendidus als gene, ToxR2 gene, aerV gene, ORF9 (partial) and ORF10",46960,68,8681,31.14,33.98,91.63,294.27,36.84,46754.62,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
115547|AM181050.1 Uncultured archaeon partial rir gene including GZf-10C7 RIR intein,2308,14,1773,82.74,85.11,97.22,117.5,9.27,2266.31,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|AM181051.1 Uncultured archaeon partial pfl gene including GZf-13E1 PFL intein,706,10,1305,37.16,38.39,96.81,260.48,3.98,675.66,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|AM181052.1 Uncultured archaeon partial rir1 gene including Pfu RIR1-2 intein,1900,7,924,90.37,93.94,96.2,106.45,14.44,1878.21,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"114054|AM183760.1 Uncultured Vibrio sp. partial 16S rRNA gene, clone KR85_I07",446,6,845,53.37,53.37,100,187.36,2.13,426.36,1.00E-26,114054,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,uncultured Vibrio sp.
"669|AF217648.1 Vibrio harveyi beta-lactamase (vhw-1) gene, complete cds",786,9,1152,40.62,41.41,98.11,241.51,3.36,759.11,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|AF230931.1 Vibrio alginolyticus strain 86148 Hsp60 (hsp60) gene, partial cds",2074,4,556,77.16,77.16,100,129.6,17.04,2060.86,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"112749|AJ248420.2 Uncultured bacterium pB16 partial nirS gene for nitrite reductase, clone pB16",872,6,791,81.04,86.09,94.13,116.15,8.34,853.43,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"670|AB082123.1 Vibrio parahaemolyticus vibrioferrin biosynthesis gene cluster (pvsA, pvsB, pvsC, pvsD, pvsE), complete cds",5580,61,7734,25.76,26.47,97.31,377.82,3.46,5399.31,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
204774|AY163567.1 Gram-negative bacterium 0471 plasmid p0471 transposon insertion site 3,5904,13,1714,37.05,38.16,97.09,262.08,16.09,5863.49,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"29497|AJ515279.1 Vibrio splendidus partial gyrB gene for DNA gyrase subunit B, strain LMG 16746AJ515281.1 Vibrio splendidus partial gyrB gene for DNA gyrase subunit B, strain LMG 16749",464,4,571,52.19,52.54,99.33,190.33,3.95,450.64,1.00E-26,29497,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus
"255416|AY370017.1 Vibrio sp. L536 16S ribosomal RNA gene, partial sequence",29914,5,662,68.43,68.43,100,146.14,214.54,29898.31,1.00E-26,255416,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. L536
"77133|AY550782.1 Uncultured bacterium clone PEL_68 16S ribosomal RNA gene, partial sequence",396,4,561,67.91,68.09,99.74,146.86,3.21,382.9,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
298386|CR377818.1 Photobacterium profundum SS9 plasmid 1,1968928,631,80033,52.45,54.74,95.83,182.69,128.15,1967034.36,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
298386|CR378663.1 Photobacterium profundum SS9; segment 1/12,12411666,2724,348044,88.04,91.09,96.65,109.78,204.7,12403494.91,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378664.1 Photobacterium profundum SS9; segment 2/12,16642722,2715,347994,88.86,91.58,97.02,109.19,266.2,16634577.81,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378665.1 Photobacterium profundum SS9; segment 3/12,10967936,2720,347213,84.32,87.21,96.69,114.66,179.97,10959775.77,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378666.1 Photobacterium profundum SS9; segment 4/12,11282948,2728,348313,89.33,92.34,96.75,108.3,183.14,11274763.81,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378667.1 Photobacterium profundum SS9; segment 5/12,8169764,2741,349080,79.67,82.71,96.32,120.9,136.14,8161543.38,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378668.1 Photobacterium profundum SS9; segment 6/12,6255028,2737,348128,62.53,64.84,96.43,154.22,103.76,6246819,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378669.1 Photobacterium profundum SS9; segment 7/12,8921782,2741,349285,82.58,85.71,96.35,116.67,147.15,8913560.94,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378670.1 Photobacterium profundum SS9; segment 8/12,9728428,2734,348672,89.67,92.85,96.57,107.7,163.18,9720226.11,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378671.1 Photobacterium profundum SS9; segment 9/12,9963692,2742,349688,82.35,85.35,96.48,117.16,163.98,9955467.62,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378672.1 Photobacterium profundum SS9; segment 10/12,12287750,2728,348526,87.65,90.62,96.72,110.35,199.12,12279566.85,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378673.1 Photobacterium profundum SS9; segment 11/12,13350416,2736,349814,90.39,93.32,96.86,107.16,215.83,13342209.07,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378674.1 Photobacterium profundum SS9; segment 12/12,9596334,1969,251097,84.26,87.02,96.83,114.91,210.23,9590426.2,1.00E-26,657,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,
298386|CR378675.1 Photobacterium profundum SS9 chromosome 2; segment 1/7,7161164,2747,349544,82.32,85.65,96.11,116.75,120.93,7152926.68,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
