Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"81726|AM160665.1 Unidentified microorganism metagenome environmental cosmid clone 10A01, sub clone 10A01-P1",2522,0,850,70.82,73.76,96.01,135.57,22.98,2521.58,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"81726|AM160696.1 Unidentified microorganism metagenome environmental cosmid clone 10B03, sub clone 10B03-P2",720,0,800,90.25,93.5,96.52,106.95,6.94,719.61,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"81726|AM160717.1 Unidentified microorganism metagenome environmental cosmid clone 10D05, sub clone 10D05-P1",816,0,970,85.57,88.87,96.29,112.53,5.58,815.52,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"81726|AM160726.1 Unidentified microorganism metagenome environmental cosmid clone 10A06, sub clone 10A06-P2",2120,0,599,99.5,100.0,99.5,100.0,19.41,2119.7,1e-26,81726,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,unidentified microorganism
"81726|AM160775.1 Unidentified microorganism metagenome environmental cosmid clone 10E11, sub clone 10E11-P1",718,0,909,62.93,64.03,98.28,156.19,5.11,717.55,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"112733|AJ248404.1 Uncultured bacterium pA7 partial nirS gene for nitrite reductase, clone pA7",388,0,354,94.07,100.0,94.07,100.0,6.13,387.83,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"125572|AB042501.2 Halomonas sp. TAG C4 gene for 16S rRNA, partial sequence",1532,0,1455,96.08,96.22,99.86,103.93,4.94,1531.28,1e-26,125572,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. TAG C4
"112731|AJ248402.2 Uncultured bacterium pA4 partial nirS gene for nitrite reductase, clone pA4",538,0,842,83.61,86.82,96.31,115.18,4.0,537.58,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"112738|AJ248409.2 Uncultured bacterium pA25 partial nirS gene for nitrite reductase, clone pA25",1114,0,832,95.07,99.76,95.3,100.24,9.99,1113.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112740|AJ248411.2 Uncultured bacterium pA32 partial nirS gene for nitrite reductase, clone pA32",884,0,831,94.83,100.0,94.83,100.0,7.61,883.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112745|AJ248416.2 Uncultured bacterium pA94 partial nirS gene for nitrite reductase, clone pA94",1618,0,831,96.51,100.0,96.51,100.0,13.03,1617.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"112749|AJ248420.2 Uncultured bacterium pB16 partial nirS gene for nitrite reductase, clone pB16",2652,0,791,97.85,100.0,97.85,100.0,20.57,2651.61,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"112752|AJ248423.2 Uncultured bacterium pB49 partial nirS gene for nitrite reductase, clone pB49",1442,0,831,97.35,100.0,97.35,100.0,11.26,1441.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"112753|AJ248424.2 Uncultured bacterium pB66 partial nirS gene for nitrite reductase, clone pB66",1178,0,831,92.66,97.59,94.94,102.47,10.14,1177.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112754|AJ248425.2 Uncultured bacterium pB76 partial nirS gene for nitrite reductase, clone pB76",736,0,831,93.5,99.16,94.3,100.85,6.92,735.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112755|AJ248426.2 Uncultured bacterium pC56 partial nirS gene for nitrite reductase, clone pC56",1210,0,831,88.69,92.42,95.96,108.2,9.96,1209.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"152509|AY500023.1 Uncultured Bacteroidetes bacterium clone Nubeena153 16S ribosomal RNA gene, partial sequence",880,0,992,76.51,77.22,99.09,129.5,4.05,879.51,1e-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"125572|AB119496.1 Halomonas sp. TAG C4 gyrB gene for DNA gyrase subunit B, partial cds",492,0,830,99.76,99.88,99.88,100.12,2.8,491.59,1e-26,125572,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. TAG C4
"265883|NR_028660.1 Thiomicrospira thermophila strain I78 16S ribosomal RNA gene, partial sequenceAB166731.1 Thiomicrospira thermophila gene for 16S rRNA, partial sequence",2184,0,1478,97.77,97.77,100.0,102.28,7.1,2183.27,1e-26,265883,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio thermophilus
"77133|AY588963.1 Uncultured bacterium clone DE2.5 16S ribosomal RNA gene, partial sequence",1382,0,1471,99.25,99.39,99.86,100.62,4.75,1381.27,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"188475|AJ704712.1 Uncultured Holophaga sp. partial 16S rRNA gene, clone HMMVPog-55",718,0,683,98.68,100.0,98.68,100.0,6.09,717.66,1e-26,188475,Bacteria,unk_k,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,uncultured Holophaga sp.
"120965|AJ704717.1 Uncultured planctomycete partial 16S rRNA gene, clone HMMVPog-44",712,0,688,70.78,71.37,99.19,140.12,4.69,711.66,1e-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"86473|AY822397.1 Uncultured gamma proteobacterium clone C16T12 B04 16S ribosomal RNA gene, partial sequence",618,0,738,83.47,84.15,99.19,118.84,3.91,617.64,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"77133|AY822419.1 Uncultured bacterium clone C16T12 D11 16S ribosomal RNA gene, partial sequence",480,0,734,62.13,62.4,99.56,160.26,2.81,479.64,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB015540.1 Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: BD2-11",1508,0,1524,93.7,95.14,98.48,105.1,4.92,1507.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"120858|AB013261.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB9",1234,0,1473,84.18,84.52,99.6,118.31,4.48,1233.27,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"120858|AB013262.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB10",2092,0,1467,84.12,84.46,99.6,118.4,6.34,2091.28,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"120858|AB013263.1 Uncultured epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone: NKB11",1698,0,1475,84.2,84.27,99.92,118.66,5.8,1697.27,1e-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"77133|AB013269.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: NKB17",1236,0,1523,87.07,87.33,99.7,114.51,3.95,1235.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"120177|AB040515.1 Uncultured deep-sea autotrophic bacterium JTII-3 cbbM gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form II large subunit, partial cds",180,0,339,60.77,64.01,94.93,156.22,3.22,179.83,1e-26,28211,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,,
"153939|AY197431.1 Uncultured sulfate-reducing bacterium clone B01P021 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",8792,0,1903,79.82,80.14,99.61,124.79,19.01,8791.06,1e-26,153939,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured sulfate-reducing bacterium
"153939|AY197435.1 Uncultured sulfate-reducing bacterium clone B02P027 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",906,0,1794,41.19,43.31,95.11,230.89,3.4,905.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AY197438.1 Uncultured sulfate-reducing bacterium clone B03P012 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1040,0,1795,55.38,58.16,95.21,171.93,4.17,1039.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AY197444.1 Uncultured sulfate-reducing bacterium clone B03P033 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1480,0,1791,68.29,69.4,98.39,144.09,4.8,1479.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|AY197449.1 Uncultured sulfate-reducing bacterium clone B04P003 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",2718,0,1794,82.27,84.89,96.91,117.79,10.91,2717.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|AY197450.1 Uncultured sulfate-reducing bacterium clone B04P004 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",3850,0,1791,62.93,63.99,98.34,156.28,14.09,3849.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|AY197454.1 Uncultured sulfate-reducing bacterium clone B04P017 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1698,0,1791,77.33,80.01,96.65,124.98,6.49,1697.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|AY197456.1 Uncultured sulfate-reducing bacterium clone B04P034 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1178,0,1791,70.24,73.14,96.03,136.72,3.93,1177.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AY197457.1 Uncultured sulfate-reducing bacterium clone B04P036 dissimilatory sulfite reductase alpha subunit (dsrA) and dissimilatory sulfite reductase beta subunit (dsrB) genes, partial cds",1252,0,1794,67.78,70.74,95.82,141.37,4.35,1251.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"38145|AB116389.1 Uncultured Gram-positive bacterium gene for 16S rRNA, partial sequence, clone: K10",754,0,1141,85.54,85.98,99.49,116.31,3.38,753.44,1e-26,38145,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured Gram-positive bacterium
"198431|AB175487.1 Uncultured prokaryote cbbL gene for ribulose,1-5,bisphosphate carboxylase oxygenase form I large subunit cbbL, partial cds, clone:Suiyo (I)-1",1206,0,812,90.76,98.89,91.78,101.12,11.17,1205.6,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"198431|AB175812.1 Uncultured prokaryote cbbL gene for ribulose,1-5,bisphosphate carboxylase oxygenase form I large subunit cbbL, partial cds, clone:Suiyo (I)-8",900,0,812,74.14,78.94,93.92,126.68,8.78,899.6,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"49186|AJ717490.1 Marinobacterium stanieri partial rpoB gene for DNA-directed RNA polymerase beta chain, strain LMG 6847T",514,0,972,90.74,92.49,98.11,108.12,2.92,513.52,1e-26,48075,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,
"239745|AB188774.1 Uncultured Desulfobulbus sp. gene for 16S rRNA, partial sequence",1452,0,1517,42.06,42.12,99.84,237.4,5.47,1451.25,1e-26,239745,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,uncultured Desulfobulbus sp.
"179110|AB189369.1 Uncultured Planctomyces sp. gene for 16S rRNA, partial sequence, clone: JT75-125",1520,0,1516,80.8,83.11,97.22,120.32,5.32,1519.25,1e-26,118,Bacteria,unk_k,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,
"34034|DQ112432.1 Uncultured delta proteobacterium clone KorMud-V8C12 16S ribosomal RNA gene, partial sequence",606,0,967,71.56,73.63,97.19,135.81,3.72,605.52,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"77133|AJ966588.1 Uncultured bacterium partial 16S rRNA gene, clone E8",814,0,1528,68.59,69.04,99.34,144.83,2.16,813.25,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"86473|DQ351744.1 Uncultured gamma proteobacterium clone Belgica2005/10-120-9 16S ribosomal RNA gene, complete sequence",1818,0,1497,55.85,55.98,99.76,178.64,5.61,1817.26,1e-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"38145|DQ395023.1 Uncultured Gram-positive bacterium clone VHS-B5-52 16S ribosomal RNA gene, partial sequence",1224,0,1528,79.65,81.02,98.3,123.42,4.21,1223.25,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|DQ159599.1 Uncultured bacterium clone hbD_2F putative dissimilatory nitrite reductase (nirS) gene, partial cds",706,0,831,90.73,94.46,96.05,105.86,6.67,705.59,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|DQ312599.1 Uncultured bacterium clone 3B9F 23S ribosomal RNA gene, partial sequence",912,0,282,97.87,100.0,97.87,100.0,19.47,911.86,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|DQ312786.1 Uncultured bacterium clone 3H2G 23S ribosomal RNA gene, partial sequence",996,0,720,87.08,89.31,97.51,111.98,9.34,995.65,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|DQ312792.1 Uncultured bacterium clone 3H4B 23S ribosomal RNA gene, partial sequence",47038,0,769,98.83,99.87,98.96,100.13,354.76,47037.62,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ312853.1 Uncultured bacterium clone 3J5D 23S ribosomal RNA gene, partial sequence",950,0,675,72.3,81.33,88.89,122.95,10.68,949.67,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|DQ312906.1 Uncultured bacterium clone 3L4G 23S ribosomal RNA gene, partial sequence",480,0,706,90.65,94.33,96.1,106.01,4.67,479.65,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|DQ313074.1 Uncultured bacterium clone 3R12C 23S ribosomal RNA gene, partial sequence",686,0,714,96.36,99.16,97.18,100.85,6.33,685.65,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AB233459.1 Uncultured archaeon gene for methyl-coenzyme M reductase alpha subunit, partial cds",454,0,681,77.09,79.44,97.04,125.88,3.08,453.66,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB252427.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone:OT-B06.10",884,0,1466,59.55,60.44,98.53,165.46,2.66,883.28,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ282263.1 Uncultured bacterium clone MS4-Int-B11 integron integrase gene, partial cds",440,0,489,93.25,95.71,97.44,104.49,5.54,439.76,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AY375059.1 Uncultured bacterium clone B184 16S ribosomal RNA gene, partial sequence",894,0,1503,71.92,72.19,99.63,138.53,2.33,893.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY375060.1 Uncultured bacterium clone B185 16S ribosomal RNA gene, partial sequence",808,0,1500,73.73,74.33,99.19,134.53,2.8,807.26,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"153939|DQ112208.1 Uncultured sulfate-reducing bacterium clone VHS029 dissimilatory sulfite reductase alpha subunit-like and dissimilatory sulfite reductase beta subunit-like genes, partial sequence",806,0,1131,38.37,41.73,91.95,239.62,5.81,805.44,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"194844|AY225640.1 Uncultured Acidobacteriaceae bacterium clone AT-s2 16S ribosomal RNA gene, partial sequence",1114,0,1468,79.9,80.04,99.83,124.94,3.88,1113.28,1e-26,194844,Bacteria,unk_k,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,unk_g,uncultured Acidobacteriaceae bacterium
"153939|AY337087.1 Uncultured sulfate-reducing bacterium clone W307290 dissimilatory sulfite reductase subunits alpha and beta (dsrAB) gene, partial sequence",836,0,1268,77.44,80.84,95.8,123.71,4.24,835.38,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AY337107.1 Uncultured sulfate-reducing bacterium clone W306646 dissimilatory sulfite reductase subunits alpha and beta (dsrAB) gene, partial sequence",740,0,1269,76.52,81.95,93.37,122.02,3.71,739.37,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"153939|AY337171.1 Uncultured sulfate-reducing bacterium clone W306441 dissimilatory sulfite reductase subunits alpha and beta (dsrAB) gene, partial sequence",1022,0,1206,93.2,96.35,96.73,103.79,6.36,1021.41,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AY568848.1 Uncultured bacterium isolate JH12_C02 16S ribosomal RNA gene, partial sequence",1070,0,949,61.01,61.43,99.31,162.78,5.25,1069.53,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"153939|AY590558.1 Uncultured sulfate-reducing bacterium clone Sed2-DSR 17 dissimilatory sulfite reductase alpha subunit (dsrA) gene, partial cds",594,0,626,97.44,99.36,98.07,100.64,6.05,593.69,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"152507|AY124417.1 Uncultured actinobacterium clone SAa06 16S ribosomal RNA gene, partial sequence",340,0,554,97.11,98.38,98.72,101.65,3.25,339.73,1e-26,152507,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
"152507|AY124428.1 Uncultured actinobacterium clone SDa02 16S ribosomal RNA gene, partial sequence",278,0,552,78.44,78.62,99.77,127.19,2.72,277.73,1e-26,152507,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
"34034|AF424261.1 Uncultured delta proteobacterium MERTZ_21CM_340 16S ribosomal RNA gene, partial sequence",642,0,1002,45.91,46.21,99.35,216.41,2.74,641.51,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|AF424310.1 Uncultured bacterium MERTZ_2CM_326 16S ribosomal RNA gene, partial sequence",808,0,999,51.85,51.95,99.81,192.49,3.9,807.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AF424324.1 Uncultured bacterium MERTZ_21CM_279 16S ribosomal RNA gene, partial sequence",1036,0,846,90.43,90.66,99.74,110.3,5.67,1035.58,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"166587|AF424385.1 Uncultured green nonsulfur bacterium MERTZ_2CM_217 16S ribosomal RNA gene, partial sequence",582,0,864,92.13,93.17,98.88,107.33,3.57,581.57,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"166587|AF424394.1 Uncultured green nonsulfur bacterium MERTZ_21CM_133 16S ribosomal RNA gene, partial sequence",618,0,985,67.01,67.92,98.65,147.23,2.82,617.51,1e-26,166587,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,uncultured Chloroflexi bacterium
"77133|AF424410.1 Uncultured bacterium MERTZ_2CM_64 16S ribosomal RNA gene, partial sequence",814,0,999,53.75,53.95,99.63,185.34,3.15,813.51,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AF424416.1 Uncultured bacterium MERTZ_21CM_107 16S ribosomal RNA gene, partial sequence",546,0,1007,92.25,93.05,99.15,107.47,2.84,545.5,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"152508|AF424417.1 Uncultured low G+C Gram-positive bacterium MERTZ_21CM_237 16S ribosomal RNA gene, partial sequence",928,0,980,44.39,44.8,99.09,223.23,4.29,927.52,1e-26,152508,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,unk_g,uncultured low G+C Gram-positive bacterium
"152507|AF424427.1 Uncultured actinobacterium MERTZ_21CM_154 16S ribosomal RNA gene, partial sequence",1316,0,998,81.46,81.56,99.88,122.6,6.25,1315.51,1e-26,152507,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured actinobacterium
"120965|AF424494.1 Uncultured planctomycete MERTZ_21CM_239 16S ribosomal RNA gene, partial sequence",684,0,1011,72.6,74.18,97.87,134.8,3.62,683.5,1e-26,203682,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,
"120965|AF424498.1 Uncultured planctomycete MERTZ_21CM_298 16S ribosomal RNA gene, partial sequence",1522,0,1010,97.33,98.42,98.89,101.61,7.29,1521.5,1e-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"120965|AF424502.1 Uncultured planctomycete MERTZ_21CM_399 16S ribosomal RNA gene, partial sequence",510,0,1005,97.31,98.11,99.19,101.93,2.37,509.5,1e-26,120965,Bacteria,unk_k,Planctomycetota,unk_c,unk_o,unk_f,unk_g,uncultured planctomycete
"96971|AF154093.1 Uncultured hydrocarbon seep bacterium BPC063 16S ribosomal RNA gene, partial sequence",5468,0,1469,89.38,89.93,99.39,111.2,16.48,5467.28,1e-26,96971,Bacteria,unk_k,Actinobacteria,Actinomycetia,unk_o,unk_f,unk_g,uncultured hydrocarbon seep bacterium BPC063
"96974|AF154083.1 Uncultured hydrocarbon seep bacterium BPC102 16S ribosomal RNA gene, partial sequence",3282,0,1470,99.8,100.0,99.8,100.0,10.77,3281.28,1e-26,96974,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured hydrocarbon seep bacterium BPC102
"135300|AF286031.1 Saltmarsh clone LCP-26 16S ribosomal RNA, partial sequence",2582,0,1523,90.94,92.78,98.02,107.78,7.87,2581.25,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
