Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X00149.1 Saccharomyces cerevisiae mt 21s rRNA gene r1-intron,1410,4,1276,23.51,23.51,100.0,425.33,7.41,1395.69,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"49186|NR_024699.1 Marinobacterium stanieri strain ATCC 27130 16S ribosomal RNA gene, partial sequenceAB021367.1 Marinobacterium stanieri gene for 16S rRNA, strain: ATCC 27130",3782,5,1517,39.29,39.49,99.5,253.26,12.02,3764.95,1e-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"116093|AF227238.1 Pseudoalteromonas sp. A28 16S ribosomal RNA gene, partial sequence",5766,5,1502,54.93,55.06,99.76,181.62,21.11,5749.11,1e-26,116093,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. A28
"669|AF208073.1 Vibrio harveyi putative nitrate reductase gene, partial cds",1238,2,600,44.17,46.33,95.32,215.83,12.72,1231.26,1e-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"9606|AJ295044.1 Homo sapiens alpha satellite, pZ5.1 probe",2618,2,685,87.15,89.64,97.23,111.56,21.92,2610.3,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"34034|AJ535247.1 Uncultured delta proteobacterium partial 16S rRNA gene, clone Hyd89-22",93398,5,1526,94.76,95.22,99.52,105.02,278.28,93380.82,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
24|AJ579923.1 Shewanella putrefaciens partial int gene for putative integrase,2394,4,1156,25.61,25.95,98.67,385.33,10.82,2381.01,1e-26,24,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens
"115547|AJ578086.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal31",3078,3,927,31.18,31.18,100.0,320.76,15.21,3067.58,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578089.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal61",15934,5,1358,41.24,41.24,100.0,242.5,60.81,15918.71,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578091.1 Uncultured archaeon partial 16S rRNA gene, clone HydCal69",1614,3,917,32.72,32.72,100.0,305.67,9.81,1603.7,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578107.1 Uncultured archaeon partial 16S rRNA gene, clone Hyd24-Arch25",666,3,919,26.22,26.33,99.59,379.75,4.57,655.72,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"356619|AM157654.1 Idiomarina sp. AN-BI1D 16S rRNA gene, strain AN-BI1D",6220,5,1371,43.98,43.98,100.0,227.36,18.66,6204.58,1e-26,356619,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,Idiomarina sp. AN-BI1D
115547|CR937009.1 uncultured archaeon fos0644c1,185542,147,39253,47.51,49.66,95.68,201.37,33.98,185100.53,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
115547|CR937011.1 uncultured archaeon fos0625e3,2113944,147,39450,78.16,79.56,98.24,125.69,270.07,2113501.25,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
115547|CR937012.1 uncultured archaeon fos0642g6,1089640,144,38616,60.09,62.88,95.56,159.04,178.38,1089205.94,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
115547|AM181050.1 Uncultured archaeon partial rir gene including GZf-10C7 RIR intein,57706,6,1773,98.36,99.89,98.48,100.11,213.68,57686.04,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
115547|AM181051.1 Uncultured archaeon partial pfl gene including GZf-13E1 PFL intein,33024,4,1305,99.31,99.85,99.46,100.15,181.89,33009.31,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
115547|AM181052.1 Uncultured archaeon partial rir1 gene including Pfu RIR1-2 intein,1216,3,924,28.03,30.52,91.84,327.66,11.23,1205.63,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
9606|AF332380.1 Homo sapiens clone 10ptel_c12t7 sequence,1246,2,616,36.2,36.2,100.0,276.23,6.33,1239.08,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"265883|NR_028660.1 Thiomicrospira thermophila strain I78 16S ribosomal RNA gene, partial sequenceAB166731.1 Thiomicrospira thermophila gene for 16S rRNA, partial sequence",208362,5,1478,100.0,100.0,100.0,100.0,675.35,208345.36,1e-26,265883,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio thermophilus
"166587|AY542229.1 Uncultured Chloroflexi bacterium clone GoM IDB-24 16S ribosomal RNA gene, partial sequence",2902,4,1317,22.4,22.78,98.33,439.0,15.26,2887.2,1e-26,200795,Bacteria,unk_k,Chloroflexi,unk_c,unk_o,unk_f,unk_g,
"115547|AJ578126.1 Uncultured archaeon partial 16S rRNA gene, clone BS-K-F9",1658,5,1366,20.64,20.72,99.65,482.69,5.35,1642.68,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AJ578136.1 Uncultured archaeon partial 16S rRNA gene, clone BS-S-E7",10068,5,1358,32.18,32.18,100.0,310.76,34.3,10052.72,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AY584744.1 Uncultured bacterium clone JWBH-3 16S ribosomal RNA gene, partial sequence",3544,4,1144,25.52,26.22,97.33,381.33,17.3,3531.14,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AY897332.1 Uncultured bacterium clone nubeena305 16S ribosomal RNA gene, partial sequence",1186,2,758,35.62,36.15,98.54,276.64,7.12,1177.49,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
9606|Z12010.1 Homo sapiens alpha satellite DNA,2792,5,1362,20.85,22.03,94.67,454.0,12.33,2776.7,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"117051|AB038687.2 Uncultured deep-sea autotrophic bacterium ORI-1 gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, partial cds",544,1,500,39.4,39.6,99.49,252.53,6.73,538.39,1e-26,117051,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured deep-sea autotrophic bacterium ORI-1
"116093|AB070236.1 Pseudoalteromonas sp. A28 empI gene for metal protease, complete cds",13848,10,2780,54.75,56.69,96.57,176.4,25.96,13816.72,1e-26,53246,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
"38313|AY066004.1 Shewanella algae oxacillinase (oxaSH) and transcriptional regulator LysR (otrR) genes, complete cds",6102,8,2300,32.91,33.3,98.83,300.26,9.36,6076.15,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"10090|AK089828.1 Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830029P03 product:unclassifiable, full insert sequence",94,0,143,97.2,97.9,99.29,102.14,1.57,92.4,1.0000000000000001e-21,10090,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
"77133|AB094807.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone:OHKB2.27",2156,3,850,33.06,33.29,99.29,300.35,11.29,2146.45,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AY226295.1 Uncultured bacterium clone DBBB-44 16S ribosomal RNA gene, partial sequence",594,2,745,28.72,28.86,99.53,346.51,4.43,585.66,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"29494|AJ842425.1 Vibrio furnissii partial recA gene, strain LMG 11656",5784,2,797,37.64,37.64,100.0,265.67,25.21,5775.03,1e-26,29494,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio furnissii
"74109|DQ027054.1 Photobacterium profundum strain 3TCK 16S ribosomal RNA gene, partial sequence",1648,5,1500,20.0,20.0,100.0,500.0,4.6,1631.18,1e-26,74109,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum
9606|BC040303.1 Homo sapiens cDNA clone IMAGE:4830172,1422,5,1425,21.05,21.05,100.0,475.0,5.26,1406.03,1e-26,9606,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
"198240|AY883177.1 Uncultured methanogenic archaeon clone AN07BC1_20_07 McrA (mcrA) gene, partial cds",1752,2,764,38.87,39.27,99.0,254.67,7.46,1743.41,1e-26,198240,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g,uncultured methanogenic archaeon
"9606|AY966362.1 Homo sapiens isolate ORA142B control region, partial sequence; mitochondrialAY966363.1 Homo sapiens isolate ORA135A control region, partial sequence; mitochondrial",660,1,331,45.02,47.43,94.9,210.83,6.21,656.28,1e-26,9604,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,
"77133|AB177325.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B22.26",2854,4,1114,26.75,27.02,99.0,370.1,13.74,2841.48,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177176.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1230B22.18",2968,5,1385,20.29,21.66,93.67,461.67,15.59,2952.44,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB177206.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1230B32.21",5660,5,1454,31.57,31.91,98.92,313.36,21.24,5643.65,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|AB177207.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1230B32.22",2742,5,1460,51.71,54.79,94.38,182.5,12.05,2725.6,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB177298.1 Uncultured bacterium gene for 16S rRNA, clone: ODP1251B1.23",1752,4,1104,42.21,42.48,99.36,235.39,7.37,1739.61,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|AY324376.1 Uncultured archaeon clone GZfosARC_26E7 16S ribosomal RNA gene, partial sequence",3966,3,868,34.56,34.56,100.0,289.33,21.01,3956.24,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AY327048.1 Uncultured archaeon clone GZfos17A3 mcr operon, complete sequence",621736,36,9787,94.4,96.66,97.66,103.46,419.25,621625.9,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"115547|AY327049.1 Uncultured archaeon clone GZfos35D7 mcr operon, partial sequence",19450,18,4947,39.03,41.6,93.83,240.38,30.1,19394.36,1e-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"34034|AF424235.1 Uncultured delta proteobacterium MERTZ_0CM_172 16S ribosomal RNA gene, partial sequence",1426,2,609,48.6,49.75,97.69,200.99,12.32,1419.16,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"156405|AF424371.1 Uncultured green sulfur bacterium MERTZ_21CM_53 16S ribosomal RNA gene, partial sequence",2404,3,995,25.53,26.03,98.07,384.17,17.41,2392.82,1e-26,1090,Bacteria,unk_k,Chlorobi,unk_c,unk_o,unk_f,unk_g,
"34034|AF354145.1 Uncultured delta proteobacterium clone Eel-BE1B4 16S ribosomal RNA gene, partial sequence",1832,5,1535,31.92,32.51,98.2,307.62,5.04,1814.79,1e-26,28221,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
"34034|AF354147.1 Uncultured delta proteobacterium clone Eel-BE1C3 16S ribosomal RNA gene, partial sequence",4566,5,1517,40.15,40.47,99.19,247.07,16.0,4548.94,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"77133|AY592180.1 Uncultured bacterium clone Kazan-3B-14/BC19-3B-14 16S ribosomal RNA gene, partial sequence",768,4,1194,24.54,25.13,97.67,398.0,6.03,754.66,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"283625|AY646155.1 Pseudoalteromonas sp. JL-300 16S ribosomal RNA gene, partial sequence",263094,5,1507,99.8,100.13,99.67,99.87,764.68,263077.04,1e-26,283625,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. JL-300
"38313|AY343493.1 Shewanella algae OXA-55 (blaOXA-55) gene, complete cds; and LysR (lysR) gene, partial cds",10296,5,1516,55.61,56.07,99.18,178.35,27.63,10278.94,1e-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"77133|AY593439.1 Uncultured bacterium clone Napoli-MN16BT2-201 16S ribosomal RNA gene, partial sequence",1728,2,580,47.07,52.07,90.4,192.05,27.73,1721.48,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"115547|AY592518.1 Uncultured archaeon clone Napoli-3A-07 16S ribosomal RNA gene, partial sequence",2614,4,1231,24.29,24.37,99.67,410.33,13.08,2600.17,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"77133|AY356374.1 Uncultured eubacterium N6-2 16S ribosomal RNA gene, partial sequence",1794,4,1150,24.96,26.09,95.67,383.33,11.68,1781.09,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
4577|BT018048.1 Zea mays clone EL01N0531D04.c mRNA sequence,5162,3,817,36.72,36.72,100.0,272.33,22.63,5152.81,1e-26,4577,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,Zea mays
"265883|AY958067.1 Thiomicrospira thermophila isolate KT8_cbbM ribulose-1,5-bisphosphate carboxylase/oxygenase form II (cbbM) gene, partial cds",1840,1,312,83.97,86.54,97.04,115.56,37.26,1836.49,1e-26,28884,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,
"265883|AY958068.1 Thiomicrospira thermophila isolate kt8_cbbL_2_5 ribulose-1,5-bisphosphate carboxylase/oxygenase form I (cbbL) gene, partial cds",4822,1,274,94.53,101.09,93.5,98.92,95.31,4818.92,1e-26,135616,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
"265883|AY958069.1 Thiomicrospira thermophila isolate kt8_cbbL_1 ribulose-1,5-bisphosphate carboxylase/oxygenase form I (cbbL) gene, partial cds",4534,1,274,94.16,97.81,96.27,102.24,71.63,4530.92,1e-26,135616,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,,
"155900|DQ396076.1 Uncultured organism clone ctg_NISA131 16S ribosomal RNA gene, partial sequence",9686,5,1536,30.27,30.27,100.0,330.32,32.05,9668.72,1e-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"155900|DQ396136.1 Uncultured organism clone ctg_NISA058 16S ribosomal RNA gene, partial sequence",10548,5,1507,48.71,48.84,99.73,204.76,33.39,10531.04,1e-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"115547|DQ007532.1 Uncultured archaeon clone Tommeliten_ARCH1FL 16S ribosomal RNA gene, partial sequence",3160,5,1359,22.08,22.08,100.0,453.0,14.76,3144.73,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"685|AB255716.1 Vibrio diazotrophicus DNA, 16S-23S rRNA intergenic spacer type 2 and 23S rRNA, partial sequence, strain: IAM 14202",1458,1,292,80.82,82.19,98.33,121.67,27.81,1454.71,1e-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"34034|DQ811820.1 Uncultured delta proteobacterium clone MSB-4H8 16S ribosomal RNA gene, partial sequence",4706,5,1530,27.52,27.91,98.59,358.31,16.0,4688.8,1e-26,34034,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
"153809|DQ683582.1 Uncultured proteobacterium clone LCS11 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (cbbL) gene, partial cds",396,1,495,27.88,30.71,90.79,325.66,6.67,390.46,1e-26,1224,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,,
"9606|AM409269.1 Homo sapiens alpha satellite DNA, subclone E1BEcoRI-3",2002,2,685,59.42,60.44,98.31,165.46,12.69,1994.3,1e-26,9605,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,
"77133|AB176251.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: SSmCB07-2",4282,3,995,33.17,33.57,98.8,297.9,17.56,4270.81,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EF093817.1 Uncultured bacterium clone 11_37S_31_76 16S ribosomal RNA gene, partial sequenceEF093835.1 Uncultured bacterium clone 11_37S_54_67 16S ribosomal RNA gene, partial sequence",774,1,380,36.58,36.58,100.0,273.38,9.41,769.73,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EF093957.1 Uncultured bacterium clone 17_11T_27_28 16S ribosomal RNA gene, partial sequence",1848,1,349,91.12,92.84,98.15,107.72,27.68,1844.07,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|EF093985.1 Uncultured bacterium clone 17_11T_54_67 16S ribosomal RNA gene, partial sequence",1006,1,364,53.57,54.67,97.99,182.91,15.31,1001.91,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AM419237.1 Uncultured bacterium partial narG gene for nitrate reductase, clone DBb7",8910,2,651,82.64,82.95,99.63,120.56,57.91,8902.67,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"115547|DQ640138.1 Uncultured archaeon clone SBAK-mid-30 16S ribosomal RNA gene, partial sequence",9830,5,1333,38.63,38.71,99.81,258.33,31.67,9815.0,1e-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"81824|AC198533.1 Monosiga brevicollis clone JGIACYI-5A9, complete sequence",100684,116,31076,32.84,33.54,97.9,298.15,15.59,100334.62,1e-26,81525,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,
"198431|AM403019.1 Uncultured prokaryote partial cbbM gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form II large subunit, clone A08",872,1,368,68.75,74.46,92.34,134.31,16.3,867.86,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"198431|AM403038.1 Uncultured prokaryote partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, clone G06",15066,2,591,91.37,92.39,98.9,108.24,135.69,15059.35,1e-26,198431,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured prokaryote
"81824|AC199615.1 Monosiga brevicollis clone JGIACYI-81J17, complete sequence",149032,140,37395,40.33,41.61,96.93,240.33,24.58,148611.49,1e-26,81525,Eukaryota,unk_k,unk_p,Choanoflagellata,Craspedida,Salpingoecidae,Monosiga,
"271091|EF426680.1 Psychrilyobacter atlanticus strain HAW-EB21 23S ribosomal RNA gene, partial sequence",7954,4,1262,65.45,66.4,98.57,150.6,48.65,7939.8,1e-26,271091,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,Psychrilyobacter atlanticus
"77133|AB300076.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: AMG24B-27",3638,5,1335,24.79,25.32,97.93,394.97,19.53,3622.99,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"153939|AM408823.1 Uncultured sulfate-reducing bacterium partial dsrA and dsrB genes for dissimilatory sulfite reductase alpha and beta subunits, clone AB-06",8098,7,1945,30.18,31.77,94.98,314.72,25.79,8076.12,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"77133|AB305383.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: p760_b_1.16",860,3,925,31.89,32.43,98.33,308.33,6.06,849.64,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|AB305406.1 Uncultured bacterium gene for 16S rRNA, partial sequence, clone: p760_b_3.13",2868,3,910,32.53,32.97,98.67,303.33,19.78,2857.77,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU048676.1 Uncultured bacterium clone MD2896-B17 16S ribosomal RNA gene, partial sequence",2480,5,1472,19.63,20.38,96.33,490.67,8.76,2463.47,1e-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"198431|AM403032.1 Uncultured prokaryote partial cbbL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase form I large subunit, clone F12",7382,2,777,54.05,54.18,99.76,184.56,47.18,7373.25,1e-26,198431,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured prokaryote
"77133|EU181466.1 Uncultured bacterium clone 8bav_D2 16S ribosomal RNA gene, complete sequence",5344,5,1537,43.07,43.72,98.51,228.72,16.12,5326.72,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|EU181470.1 Uncultured bacterium clone 10bav_C6_ARB 16S ribosomal RNA gene, complete sequence",5252,5,1551,29.59,29.85,99.14,334.99,16.22,5234.56,1e-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"44935|AB367226.1 Halomonas venusta genes for 16S ribosomal RNA, internal transcribed spacer 1 and 23S ribosomal RNA, partial and complete sequence, clone: 1302",2088,4,1302,22.89,23.04,99.33,434.0,8.38,2073.38,1e-26,44935,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas venusta
