Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
"175243|HQ871913.1 Uncultured Ascomycota clone UAP7754 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",522,1,401,81.8,83.04,98.5,120.42,6,518.8,1.00E-26,175243,Eukaryota,Fungi,Ascomycota,unk_c,unk_o,unk_f,unk_g,uncultured Ascomycota
"6290|LM607401.1 Haemonchus placei genome assembly H_placei_MHpl1 ,scaffold HPLM_contig0015518",534,1,519,87.28,87.86,99.34,113.82,8.13,529.87,1.00E-26,6290,Eukaryota,Metazoa,Nematoda,Chromadorea,Strongylida,Haemonchidae,Haemonchus,Haemonchus placei
"117903|LM795755.1 Protopolystoma xenopodis genome assembly P_xenopodis_South_Africa ,scaffold PXEA_scaffold0043462",1396,4,1692,75.24,76.36,98.53,130.96,4.1,1382.54,1.00E-26,117903,Eukaryota,Metazoa,Platyhelminthes,Monogenea,Polystomatidea,Polystomatidae,Protopolystoma,Protopolystoma xenopodis
"44394|XM_014274126.1 PREDICTED: Zonotrichia albicollis uncharacterized LOC106629188 (LOC106629188), mRNA",416,1,723,17.7,20.75,85.33,482,0.21,410.26,1.00E-26,9126,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,,,
"37621|XM_014824733.1 PREDICTED: Priapulus caudatus cytochrome b561 homolog 2-like (LOC106820191), partial mRNA",460,1,436,92.66,100,92.66,100,7.54,456.53,1.00E-26,37891,Eukaryota,Metazoa,Priapulida,Priapulimorpha,Priapulimorphida,Priapulidae,,
"37621|XM_014825089.1 PREDICTED: Priapulus caudatus cytochrome c oxidase subunit 1-like (LOC106820582), partial mRNA",516,1,413,92.98,100,92.98,100,8.81,512.71,1.00E-26,37891,Eukaryota,Metazoa,Priapulida,Priapulimorpha,Priapulimorphida,Priapulidae,,
"37621|XM_014825116.1 PREDICTED: Priapulus caudatus ATP-dependent DNA helicase RecQ-like (LOC106820609), partial mRNA",182,0,327,97.55,100,97.55,100,2.99,179.4,1.00E-26,37847,Eukaryota,Metazoa,Priapulida,Priapulimorpha,Priapulimorphida,Priapulidae,Priapulus,
"37621|XR_001395616.1 PREDICTED: Priapulus caudatus uncharacterized LOC106820377 (LOC106820377), ncRNA",2186,2,1053,58.69,62.96,93.21,158.82,13.23,2177.6,1.00E-26,37891,Eukaryota,Metazoa,Priapulida,Priapulimorpha,Priapulimorphida,Priapulidae,,
"1883528|KX612478.1 Influenza B virus (B/California/53/2016) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds",934,4,1528,68.98,69.18,99.72,144.56,2.55,921.86,1.00E-26,11520,Viruses,Orthornavirae,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Betainfluenzavirus,Influenza B virus
663|X62635.1 V.alginolyticus gene for collagenase,22820,10,3927,82.02,84.24,97.37,118.71,28.9,22788.65,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|L08499.1 Vibrio alginolyticus glutamine synthetase (glnA) and nitrogen regulator 1 (ntrB) genes, complete cds and nitrogen regulator 2 (ntrC) gene, partial cds",40078,9,3747,86.44,88.92,97.21,112.45,49.74,40048.08,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|M25499.1 V.alginolyticus calcium-dependent, detergent resistant alkaline serine exoprotease A gene, complete cds",10304,4,1856,91.92,94.45,97.32,105.88,30.66,10289.18,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|M76768.1 Vibrio alginolyticus enzyme II-sucrose protein (scrA) gene and fructokinase (scrK) gene, complete cds",2256,7,2955,50.69,51.71,98.04,193.39,3.53,2232.5,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|M35009.1 Vibrio alginolyticus scrA gene, complete sequence; sucrose transport protein (scrA) gene, partial cds; and Scr repressor protein (scrR) and ORF5 genes, complete cds",14586,4,1524,70.47,71.85,98.08,139.18,35.34,14573.83,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|D25214.1 Vibrio alginolyticus nhaAv gene for Na+/H+ antiporter, complete cds",26396,6,2295,85.62,86.1,99.44,116.14,52.24,26377.67,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|D45166.1 Vibrio alginolyticus gene for unknown function protein, partial cds (C-terminal)",10912,2,870,98.74,100.23,98.51,99.77,71.33,10905.05,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|D50472.1 Vibrio alginolyticus genes for PilTv, FkuA, pyrroline-5-carboxylate reductase, and FkuB, partial and complete cds",11270,7,2687,79.08,80.42,98.33,124.34,21.04,11248.55,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|D84310.1 Vibrio alginolyticus gene for RNase T and motY gene for component of sodium-driven polar flagellar motor, complete cds",25276,4,1625,80.86,81.29,99.47,123.01,67.79,25263.02,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|D83728.1 Vibrio alginolyticus DNA for NhaBv, complete cds",13440,8,3188,44.42,44.95,98.81,222.47,20.64,13414.55,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
49119|U61848.1 Marinobacter sp. CAB 16S ribosomal RNA gene sequence,2860,4,1534,38.92,38.92,100,256.95,10.28,2847.77,1.00E-26,49119,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp. CAB
"663|AB004068.1 Vibrio alginolyticus DNA for PomA, PomB, complete cds",1644,5,2196,60.52,61.34,98.66,163.03,3.28,1626.54,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"998674|X87285.1 L.mucor 23S rRNA gene, DSM 2157 T",2614,7,2883,56.57,60.39,93.68,165.59,7.1,2591.06,1.00E-26,135617,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,,
"663|AB006709.1 Vibrio alginolyticus rpoN gene for RNA polymerase sigma factor N, partial and complete cds",8020,6,2456,66.53,67.26,98.91,148.67,16.16,8000.4,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|D86411.1 Vibrio alginolyticus Fmt, Fmu, Fmv, TrkA, TrkH, Orf1 and f219 genes, partial and complete cds",38206,15,5832,65.09,66.26,98.24,150.93,30.44,38159.43,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"663|AB012226.1 Vibrio alginolyticus gene for SecA, complete cds",16766,9,3476,26.44,26.52,99.67,377.01,21.29,16738.25,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|AB016766.1 Vibrio alginolyticus secE and nusG genes for preprotein translocase SecE subunit and transcription antitermination protein, complete and partial cds",2038,2,1003,59.82,59.92,99.83,166.89,8.91,2030,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"49186|NR_024699.1 Marinobacterium stanieri strain ATCC 27130 16S ribosomal RNA gene, partial sequenceAB021367.1 Marinobacterium stanieri gene for 16S rRNA, strain: ATCC 27130",16076,4,1517,99.54,100.07,99.47,99.93,46.88,16063.88,1.00E-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"91357|AF118019.1 Pseudoalteromonas sp. RE10F/5 16S ribosomal RNA gene, partial sequence",5318,3,1497,54.51,54.58,99.88,183.23,15.41,5306.05,1.00E-26,91357,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. RE10F/5
"90830|AJ240986.1 uncultured gamma proteobacterium Sva0071 16S rRNA gene, partial",962,3,1501,45.5,45.64,99.71,219.12,3.37,950.07,1.00E-26,90830,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured gamma proteobacterium Sva0071
"90832|AJ240988.1 uncultured gamma proteobacterium Sva0864 16S rRNA gene, partial",1936,3,1501,51.57,51.83,99.49,192.93,6.4,1924.04,1.00E-26,90832,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured gamma proteobacterium Sva0864
"90876|AJ241007.1 uncultured Low G+C Gram-positive bacterium Sva1064 16S rRNA gene, partial",934,3,1478,65.97,66.1,99.8,151.28,2.92,922.26,1.00E-26,90876,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,unk_g,uncultured Low G+C Gram-positive bacterium Sva1064
"670|AB024725.1 Vibrio parahaemolyticus gene for Na-translocating NADH-quinone reductase, partial cds",4138,2,913,67.8,68.24,99.36,146.55,20.89,4130.71,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"663|AB032934.1 Vibrio alginolyticus pfsA, orfC, orfD genes for PF60 and hypothetical proteins, complete cds",36298,12,4547,90.06,90.74,99.25,110.2,37.76,36261.69,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"116093|AF227238.1 Pseudoalteromonas sp. A28 16S ribosomal RNA gene, partial sequence",7374,4,1502,86.55,86.55,100,115.54,21.98,7362.01,1.00E-26,116093,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. A28
"669|AF208073.1 Vibrio harveyi putative nitrate reductase gene, partial cds",2034,1,600,69.83,73.17,95.44,136.67,20.08,2029.21,1.00E-26,641,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
"663|AB015765.1 Vibrio alginolyticus SapA, SapB, SapC, SapD and SapF genes, partial and complete cds",25186,14,5264,68.96,70.33,98.06,142.19,22.39,25143.98,1.00E-26,662,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
"49186|AB039614.1 Marinobacterium stanieri rpoD gene for DNA-directed RNA polymerase subunit D, partial cds, strain: ATCC 27130",944,2,798,97.49,100,97.49,100,7.51,937.64,1.00E-26,48075,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,
"49186|AB048521.1 Pseudomonas stanieri gyrB gene for DNA gyrase B subunit, partial cds",1852,3,1160,98.45,100,98.45,100,7.46,1842.75,1.00E-26,49186,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,Marinobacterium stanieri
"2333|AJ307978.1 Propionigenium modestum 23S rRNA gene, strain DSM 2376 T",1766,7,2925,52.79,56.96,92.68,175.57,4.2,1742.77,1.00E-26,203492,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,
"663|AB070443.1 Vibrio alginolyticus motX gene for sodium-type flagellar motor component, complete cds",16500,2,983,98.68,99.9,98.78,100.1,80.14,16492.15,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"38313|AB079849.1 Shewanella algae gene for sphingolipid ceramide N-deacylase, complete cds, strain:G8",7386,7,2979,98.83,98.99,99.83,101.02,9.42,7362.23,1.00E-26,38313,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella algae
"120858|AJ535216.1 Uncultured epsilon proteobacterium partial 16S rRNA gene, clone Hyd01-01",1376,3,1424,48.24,48.31,99.85,206.98,4.42,1364.66,1.00E-26,120858,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,uncultured Epsilonproteobacteria bacterium
"86473|AJ535246.1 Uncultured gamma proteobacterium partial 16S rRNA gene, clone Hyd89-87",3962,3,1499,92.13,92.86,99.21,107.69,12.42,3950.04,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"145653|AY309488.1 Unknown marine alpha proteobacterium JP7.1 23S ribosomal RNA gene, partial sequence",11276,7,2713,57.5,60.78,94.6,164.52,30.06,11254.34,1.00E-26,28211,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,,
"147871|AY309490.1 Roseobacter sp. KT0202a 23S ribosomal RNA gene, partial sequence",20822,7,2692,58.99,64,92.16,156.24,53.35,20800.5,1.00E-26,2854170,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,,
"155900|AY487494.1 Uncultured organism clone 5A5 nitrilase (BD7756) gene, complete cds",738,2,951,88.85,89.8,98.95,111.36,3.36,730.44,1.00E-26,155900,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured organism
"86473|AY542553.1 Uncultured gamma proteobacterium clone GoM GB425 68B-15 16S ribosomal RNA gene, partial sequence",1158,3,1365,62.2,62.49,99.53,160.02,3.73,1147.14,1.00E-26,86473,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
"152509|AY542563.1 Uncultured Bacteroidetes bacterium clone GoM GB425 68B-43 16S ribosomal RNA gene, partial sequence",1116,3,1336,46.26,46.56,99.36,214.79,4.13,1105.37,1.00E-26,152509,Bacteria,unk_k,Bacteroidota,unk_c,unk_o,unk_f,unk_g,uncultured Bacteroidetes bacterium
"670|AY911394.1 Vibrio parahaemolyticus strain SW-1 16S ribosomal RNA gene, partial sequence",920,4,1514,29,29.06,99.77,344.09,2.57,907.97,1.00E-26,670,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
"114053|AY934421.1 Uncultured Pseudoalteromonas sp. clone I50-504ITS 16S-23S ribosomal RNA intergenic spacer, partial sequence; and tRNA-Ile and tRNA-Ala genes, complete sequence",414,1,607,48.27,48.93,98.65,204.38,3.14,409.18,1.00E-26,114053,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,uncultured Pseudoalteromonas sp.
"114053|AY934422.1 Uncultured Pseudoalteromonas sp. clone I50-521ITS 16S-23S ribosomal RNA intergenic spacer, partial sequence; and tRNA-Ile and tRNA-Ala genes, complete sequence",728,1,590,73.39,75.93,96.65,131.7,6.26,723.3,1.00E-26,53246,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
"86473|AY932860.1 Uncultured gamma proteobacterium clone I3K-274ITS3 16S-23S ribosomal RNA intergenic spacer, partial sequence",412,1,698,52.44,54.44,96.32,183.68,2.58,406.46,1.00E-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
"325778|AY941802.1 Methanococcoides alaskense strain AK-9 16S ribosomal RNA gene, partial sequence",2286,3,1399,96.14,96.14,100,104.01,7.69,2274.85,1.00E-26,325778,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides alaskense
198431|AJ811965.1 Uncultured prokaryote oil02 gene for ester hydrolases,19682,10,3780,95.87,96.75,99.1,103.36,21.31,19651.82,1.00E-26,198431,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured prokaryote
"50719|DQ263602.1 Vibrio diabolicus endonuclease I precursor, gene, complete cds",12062,1,696,98.99,100,98.99,100,69.97,12056.44,1.00E-26,50719,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio diabolicus
"199737|AJ937675.1 Uncultured candidate division WS3 bacterium 16S rRNA gene (partial), ITS1, tRNA-Ile gene, tRNA-Ala gene and 23S rRNA gene (partial), clone b1bcf1.1.f04.rrna.clone7",2518,10,4085,57.99,61.22,94.72,163.33,4.58,2485.55,1.00E-26,74015,Bacteria,unk_k,Candidatus Latescibacteria,unk_c,unk_o,unk_f,,
"77133|DQ270612.1 Uncultured bacterium clone LC1133B-5 16S ribosomal RNA gene, partial sequence",1198,4,1503,44.78,45.44,98.54,220.06,3.64,1186.04,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"77133|DQ270617.1 Uncultured bacterium clone LC1133B-37 16S ribosomal RNA gene, partial sequence",816,3,1490,57.05,59.19,96.37,168.93,2.59,804.17,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"77133|DQ270621.1 Uncultured bacterium clone LC1133B-99 16S ribosomal RNA gene, partial sequence",1440,4,1526,75.56,76.61,98.63,130.54,4.44,1427.85,1.00E-26,77133,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured bacterium
"81726|AM160665.1 Unidentified microorganism metagenome environmental cosmid clone 10A01, sub clone 10A01-P1",1268,2,850,72.35,77.65,93.18,128.79,10.27,1261.22,1.00E-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"81726|AM160726.1 Unidentified microorganism metagenome environmental cosmid clone 10A06, sub clone 10A06-P2",332,1,599,78.3,78.63,99.58,127.18,2.9,327.24,1.00E-26,81726,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,unidentified microorganism
"663|DQ279068.1 Vibrio alginolyticus strain NB1011 60 kDa heat-shock protein (hsp60) gene, partial cds",1294,1,586,99.83,100,99.83,100,9.18,1289.33,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
115547|CR937012.1 uncultured archaeon fos0642g6,24364,102,38616,49.43,51.62,95.75,193.73,4.02,24057.21,1.00E-26,2157,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,,
"86473|DQ234241.2 Uncultured gamma proteobacterium clone DS159 16S ribosomal RNA gene gene, partial sequence",6644,4,1543,93.58,96.18,97.3,103.98,21.67,6631.68,1.00E-26,1236,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
"115547|AY835407.2 Uncultured archaeon clone 4A10 16S ribosomal RNA gene, complete sequence",762,3,1461,65.37,65.64,99.58,152.35,2.05,750.41,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
"115547|AY835410.2 Uncultured archaeon clone 4H08 16S ribosomal RNA gene, complete sequence",1196,3,1458,29.9,29.9,100,334.4,3.84,1184.4,1.00E-26,115547,Archaea,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,uncultured archaeon
663|X16050.1 Vibrio alginolyticus unc operon for ATP synthase (EC 3.6.1.3),70306,19,7402,70.47,70.67,99.71,141.5,41.58,70246.89,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"663|Z37111.1 V.alginolyticus bolA, nqrA, nqrB, nqrC, nqrD and nqrE (partial) genes",13606,13,5078,42.32,42.44,99.72,235.64,11.08,13565.48,1.00E-26,663,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus
"34036|AB015258.1 Unidentified epsilon proteobacterium gene for 16S ribosomal RNA, partial sequence, clone:JTB315",3922,3,1472,88.11,88.52,99.54,112.97,12.22,3910.25,1.00E-26,34036,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,unk_o,unk_f,unk_g,unidentified epsilon proteobacterium
"112733|AJ248404.1 Uncultured bacterium pA7 partial nirS gene for nitrite reductase, clone pA7",498,0,354,93.79,100,93.79,100,9.58,495.18,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112731|AJ248402.2 Uncultured bacterium pA4 partial nirS gene for nitrite reductase, clone pA4",846,2,842,78.5,83.02,94.56,120.46,7.11,839.3,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112738|AJ248409.2 Uncultured bacterium pA25 partial nirS gene for nitrite reductase, clone pA25",1092,2,832,86.06,90.14,95.47,110.93,9.7,1085.37,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112740|AJ248411.2 Uncultured bacterium pA32 partial nirS gene for nitrite reductase, clone pA32",948,2,831,88.93,94.46,94.14,105.86,9,941.38,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112745|AJ248416.2 Uncultured bacterium pA94 partial nirS gene for nitrite reductase, clone pA94",2808,2,831,96.27,100,96.27,100,23.12,2801.37,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
"112749|AJ248420.2 Uncultured bacterium pB16 partial nirS gene for nitrite reductase, clone pB16",9840,2,791,98.23,100,98.23,100,85.08,9833.68,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"112751|AJ248422.2 Uncultured bacterium pB46 partial nirS gene for nitrite reductase, clone pB46",804,2,833,60.86,64.23,94.77,155.7,6.94,797.37,1.00E-26,2,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
